cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name
11,30,true,onReceive#other.writeily.activity.WrFilesystemListFragment$1
1,3,false,<init>#other.writeily.activity.WrFilesystemListFragment$1
3,6,true,onReceive#net.gsantner.opoc.util.ShareUtil$2
1,5,false,<init>#net.gsantner.opoc.util.ShareUtil$2
1,2,false,onDeleted#other.writeily.widget.WrMarkorWidgetProvider
2,55,false,onUpdate#other.writeily.widget.WrMarkorWidgetProvider
1,2,false,onDisabled#other.writeily.widget.WrMarkorWidgetProvider
1,2,false,<init>#other.writeily.widget.WrMarkorWidgetProvider
1,2,false,onEnabled#other.writeily.widget.WrMarkorWidgetProvider
1,2,true,onReceive#other.writeily.widget.WrMarkorWidgetProvider
5,11,true,onReceive#net.pmarks.chromadoze.MediaButtonReceiver
1,2,false,<init>#net.pmarks.chromadoze.MediaButtonReceiver
2,12,false,onUpdate#net.sourceforge.opencamera.MyWidgetProviderTakePhoto
1,2,false,<init>#net.sourceforge.opencamera.MyWidgetProviderTakePhoto
1,2,true,onReceive#net.sourceforge.opencamera.MainActivity$12
1,3,false,<init>#net.sourceforge.opencamera.MainActivity$12
2,12,false,onUpdate#net.sourceforge.opencamera.MyWidgetProvider
1,2,false,<init>#net.sourceforge.opencamera.MyWidgetProvider
1,3,false,<init>#org.adblockplus.android.Preferences$4
8,28,true,onReceive#org.adblockplus.android.Preferences$4
1,3,false,<init>#org.adblockplus.android.ProxyService$3
2,4,true,onReceive#org.adblockplus.android.ProxyService$3
8,64,true,onReceive#org.adblockplus.android.ProxyService$5
1,3,false,<init>#org.adblockplus.android.ProxyService$5
1,3,false,<init>#org.adblockplus.android.ProxyService$4
2,4,true,onReceive#org.adblockplus.android.ProxyService$4
1,2,false,<init>#org.adblockplus.android.updater.AlarmReceiver
7,29,true,onReceive#org.adblockplus.android.updater.AlarmReceiver
1,2,false,<init>#org.adblockplus.android.Starter
4,16,true,onReceive#org.adblockplus.android.Starter
1,2,true,onReceive#org.adw.extensions.battery.BatteryExtension$1
1,3,false,<init>#org.adw.extensions.battery.BatteryExtension$1
2,8,true,onReceive#org.adw.ho$b$1
1,3,false,<init>#org.adw.ho$b$1
5,11,true,onReceive#org.adw.library.customwidget.CustomWidgetEditorActivity$6
1,3,false,<init>#org.adw.library.customwidget.CustomWidgetEditorActivity$6
1,3,false,<init>#org.adw.aev$1
2,12,true,onReceive#org.adw.aev$1
1,3,false,<init>#org.adw.extensions.time.TimeExtension$1
1,2,true,onReceive#org.adw.extensions.time.TimeExtension$1
3,9,true,onReceive#org.adw.launcher.WallpaperChangeReceiver
1,2,false,<init>#org.adw.launcher.WallpaperChangeReceiver
3,10,false,c#org.adw.library.model.UninstallShortcutReceiver
9,54,true,onReceive#org.adw.library.model.UninstallShortcutReceiver
1,1,false,a#org.adw.library.model.UninstallShortcutReceiver
1,2,false,<init>#org.adw.library.model.UninstallShortcutReceiver
3,31,false,a#org.adw.library.model.UninstallShortcutReceiver
1,2,false,b#org.adw.library.model.UninstallShortcutReceiver
1,2,false,<clinit>#org.adw.library.model.UninstallShortcutReceiver
21,75,true,onReceive#org.adw.ahc$a
1,3,false,<init>#org.adw.ahc$a
1,2,false,<init>#org.adw.ahc$a
8,19,true,onReceive#org.adw.wn
1,2,false,a#org.adw.wn
1,7,false,<init>#org.adw.wn
4,12,true,onReceive#org.adw.ra$8
1,3,false,<init>#org.adw.ra$8
1,2,false,a#org.adw.library.model.InstallShortcutReceiver
1,1,false,a#org.adw.library.model.InstallShortcutReceiver
1,2,false,<clinit>#org.adw.library.model.InstallShortcutReceiver
7,50,false,a#org.adw.library.model.InstallShortcutReceiver
16,95,true,onReceive#org.adw.library.model.InstallShortcutReceiver
6,39,false,a#org.adw.library.model.InstallShortcutReceiver
8,25,false,b#org.adw.library.model.InstallShortcutReceiver
3,4,false,a#org.adw.library.model.InstallShortcutReceiver
1,2,false,<init>#org.adw.library.model.InstallShortcutReceiver
1,2,false,<init>#org.adw.launcher.NextDayAlarmReceiver
1,12,false,a#org.adw.launcher.NextDayAlarmReceiver
3,9,true,onReceive#org.adw.launcher.NextDayAlarmReceiver
1,2,false,h#org.adw.afg
1,1,false,c#org.adw.afg
2,9,false,a#org.adw.afg
1,2,false,a#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,b#org.adw.afg
1,1,false,c#org.adw.afg
1,0,false,a#org.adw.afg
1,2,false,l#org.adw.afg
4,15,false,x#org.adw.afg
2,4,false,b#org.adw.afg
1,1,false,d#org.adw.afg
2,5,false,a#org.adw.afg
1,0,false,a#org.adw.afg
2,3,false,d#org.adw.afg
1,1,false,a#org.adw.afg
1,1,false,a#org.adw.afg
6,45,false,u#org.adw.afg
8,34,false,h#org.adw.afg
1,1,false,o#org.adw.afg
1,2,false,o#org.adw.afg
9,36,false,i#org.adw.afg
1,2,false,A#org.adw.afg
1,2,false,a#org.adw.afg
3,18,false,a#org.adw.afg
1,1,false,b#org.adw.afg
2,10,false,i#org.adw.afg
1,8,false,a#org.adw.afg
4,15,false,f#org.adw.afg
1,2,false,b#org.adw.afg
4,22,false,y#org.adw.afg
5,22,false,a#org.adw.afg
3,16,false,c#org.adw.afg
1,3,false,a#org.adw.afg
10,24,false,b#org.adw.afg
1,1,false,a#org.adw.afg
1,3,false,a#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,m#org.adw.afg
3,11,false,b#org.adw.afg
1,9,false,c#org.adw.afg
1,2,false,c#org.adw.afg
3,13,false,k#org.adw.afg
1,2,false,n#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,r#org.adw.afg
16,59,false,a#org.adw.afg
1,2,false,b#org.adw.afg
1,3,false,a#org.adw.afg
3,8,false,b#org.adw.afg
1,2,false,b#org.adw.afg
1,2,false,a#org.adw.afg
2,13,false,v#org.adw.afg
1,3,false,a#org.adw.afg
1,2,false,a#org.adw.afg
2,8,false,a#org.adw.afg
9,20,true,onReceive#org.adw.afg
1,2,false,b#org.adw.afg
7,18,false,c#org.adw.afg
6,32,false,w#org.adw.afg
7,33,false,a#org.adw.afg
8,27,false,a#org.adw.afg
1,2,false,d#org.adw.afg
16,37,false,a#org.adw.afg
1,3,false,a#org.adw.afg
18,62,false,a#org.adw.afg
2,4,false,p#org.adw.afg
1,1,false,a#org.adw.afg
1,2,false,a#org.adw.afg
8,50,false,c#org.adw.afg
1,9,false,a#org.adw.afg
2,4,false,a#org.adw.afg
1,2,false,g#org.adw.afg
