has_onLowMemory,extend_class,full_name,is_code_smell
False,False,org.wordpress.android.ui.stats.WPComLoginActivity,true
False,False,org.wordpress.android.ui.media.MediaGalleryActivity,true
False,False,org.wordpress.android.ui.accounts.NuxHelpActivity,true
False,False,org.wordpress.android.ui.ShareIntentReceiverActivity,true
False,False,org.wordpress.android.ui.AddQuickPressShortcutActivity,true
False,False,org.wordpress.android.ui.DashboardActivity,true
False,False,org.wordpress.android.ui.accounts.WelcomeActivity,true
False,False,org.wordpress.android.ui.reader.ReaderTagActivity,true
False,False,org.wordpress.android.ui.themes.ThemeBrowserActivity,true
False,False,org.wordpress.android.ui.stats.StatsActivity,true
False,False,org.wordpress.android.ui.posts.EditPostActivity,true
False,False,org.wordpress.android.ui.posts.PagesActivity,true
False,False,org.wordpress.android.ui.prefs.LicensesActivity,true
False,False,org.wordpress.android.ui.prefs.BlogPreferencesActivity,true
False,False,org.wordpress.android.ui.prefs.AboutActivity,true
False,False,org.wordpress.android.ui.posts.ViewPostActivity,true
False,False,org.wordpress.android.ui.posts.AddCategoryActivity,true
False,False,org.wordpress.android.ui.reader.ReaderUserListActivity,true
False,False,org.wordpress.android.ui.reader.ReaderPhotoViewerActivity,true
False,False,org.wordpress.android.ui.comments.CommentsActivity,true
False,False,org.wordpress.android.networking.SSLCertsViewActivity,true
False,False,org.wordpress.android.ui.posts.SelectCategoriesActivity,true
False,False,org.wordpress.android.ui.notifications.NotificationsWebViewActivity,true
False,False,org.wordpress.android.ui.AuthenticatedWebViewActivity,true
False,False,org.wordpress.android.ui.ViewSiteActivity,true
False,False,org.wordpress.android.ui.AppLogViewerActivity,true
False,False,org.wordpress.android.ui.accounts.ManageBlogsActivity,true
False,False,org.wordpress.android.ui.accounts.NewBlogActivity,true
False,False,org.wordpress.android.ui.accounts.NewAccountActivity,true
False,False,org.wordpress.android.ui.comments.EditCommentActivity,true
False,False,org.wordpress.android.ui.media.MediaGalleryPickerActivity,true
False,False,org.wordpress.android.ui.prefs.PreferencesActivity,true
False,False,org.wordpress.android.ui.media.MediaBrowserActivity,true
False,False,org.wordpress.android.ui.notifications.NotificationsActivity,true
False,False,org.wordpress.android.ui.reader.ReaderReblogActivity,true
False,False,org.wordpress.android.ui.posts.PreviewPostActivity,true
False,False,org.wordpress.android.ui.reader.ReaderActivity,true
False,False,org.ale.openwatch.RecorderActivity,true
False,False,org.ale.openwatch.DescribeActivity,true
False,False,org.ale.openwatch.MainActivity,true
False,False,org.ale.openwatch.MainActivityGroup,true
False,False,com.nexes.manager.HelpManager,true
False,False,com.nexes.manager.DirectoryInfo,true
False,False,com.nexes.manager.ProcessManager,true
False,False,com.nexes.manager.Settings,true
False,False,com.nexes.manager.Main,true
False,False,com.nexes.manager.WirelessManager,true
False,False,com.nexes.manager.ApplicationBackup,true
False,False,com.nexes.manager.AudioPlayblack,true
False,False,org.opengpx.lib.map.OsmMapViewerActivity,true
False,False,org.opengpx.CommandActivity,true
False,False,org.opengpx.OpenGpxPreferenceActivity,true
False,False,org.opengpx.CacheDetailActivity,true
False,False,org.opengpx.AdvancedSearchActivity,true
False,False,org.opengpx.TextViewerActivity,true
False,False,org.opengpx.OsmPreferenceActivity,true
False,False,org.opengpx.SearchListActivity,true
False,False,org.opengpx.ImageViewerActivity,true
False,False,org.opengpx.ImageGridViewerActivity,true
False,False,org.opengpx.CacheListActivity,true
False,False,org.brandroid.openmanager.activities.ServerSetupActivity,true
False,False,org.brandroid.openmanager.activities.OpenFragmentActivity,true
False,False,org.brandroid.openmanager.activities.SettingsActivity,true
False,False,org.brandroid.openmanager.activities.BluetoothActivity,true
False,False,org.brandroid.openmanager.activities.WTFSenderActivity,true
False,False,org.brandroid.openmanager.activities.SearchableActivity,true
False,False,org.brandroid.openmanager.activities.UsbActivity,true
False,False,org.brandroid.openmanager.activities.SplashActivity,true
False,False,org.brandroid.openmanager.activities.FolderPickerActivity,true
False,False,org.brandroid.openmanager.activities.LauncherActivity,true
False,False,org.brandroid.openmanager.activities.FileScannerProgress,true
False,False,org.brandroid.openmanager.activities.SearchMakerActivity,true
False,False,org.brandroid.openmanager.activities.IncomingMessageInterstitial,true
False,False,org.adblockplus.android.AdvancedPreferences,true
False,False,org.adblockplus.android.SummarizedPreferences,true
False,False,org.adblockplus.android.updater.UpdaterActivity,true
