has_onLowMemory,extend_class,full_name
false,false,org.wordpress.android.ui.themes.ThemeBrowserActivity
false,false,org.wordpress.android.ui.stats.StatsActivity
false,false,org.wordpress.android.ui.posts.EditPostActivity
false,false,org.wordpress.android.ui.posts.PagesActivity
false,false,org.wordpress.android.ui.prefs.LicensesActivity
false,false,org.wordpress.android.ui.prefs.BlogPreferencesActivity
false,false,org.wordpress.android.ui.prefs.AboutActivity
false,false,org.wordpress.android.ui.posts.ViewPostActivity
false,false,org.wordpress.android.ui.posts.AddCategoryActivity
false,false,org.wordpress.android.ui.reader.ReaderUserListActivity
false,false,org.wordpress.android.ui.reader.ReaderPhotoViewerActivity
false,false,org.wordpress.android.ui.comments.CommentsActivity
false,false,org.wordpress.android.networking.SSLCertsViewActivity
false,false,org.wordpress.android.ui.posts.SelectCategoriesActivity
false,false,org.wordpress.android.ui.notifications.NotificationsWebViewActivity
false,false,org.wordpress.android.ui.AuthenticatedWebViewActivity
false,false,org.wordpress.android.ui.ViewSiteActivity
false,false,org.wordpress.android.ui.AppLogViewerActivity
false,false,org.wordpress.android.ui.accounts.ManageBlogsActivity
false,false,org.wordpress.android.ui.accounts.NewBlogActivity
false,false,org.wordpress.android.ui.accounts.NewAccountActivity
false,false,org.wordpress.android.ui.comments.EditCommentActivity
false,false,org.wordpress.android.ui.media.MediaGalleryPickerActivity
false,false,org.wordpress.android.ui.prefs.PreferencesActivity
false,false,org.wordpress.android.ui.media.MediaBrowserActivity
false,false,org.wordpress.android.ui.notifications.NotificationsActivity
false,false,org.wordpress.android.ui.reader.ReaderReblogActivity
false,false,org.wordpress.android.ui.posts.PreviewPostActivity
false,false,org.wordpress.android.ui.reader.ReaderActivity
false,false,org.ale.openwatch.RecorderActivity
false,false,org.ale.openwatch.DescribeActivity
false,false,org.ale.openwatch.MainActivity
false,false,org.ale.openwatch.MainActivityGroup
false,false,com.nexes.manager.HelpManager
false,false,com.nexes.manager.DirectoryInfo
false,false,com.nexes.manager.ProcessManager
false,false,com.nexes.manager.Settings
false,false,com.nexes.manager.Main
false,false,com.nexes.manager.WirelessManager
false,false,com.nexes.manager.ApplicationBackup
false,false,com.nexes.manager.AudioPlayblack
false,false,org.opengpx.lib.map.OsmMapViewerActivity
false,false,org.opengpx.CommandActivity
false,false,org.opengpx.OpenGpxPreferenceActivity
false,false,org.opengpx.CacheDetailActivity
false,false,org.opengpx.AdvancedSearchActivity
false,false,org.opengpx.TextViewerActivity
false,false,org.opengpx.OsmPreferenceActivity
false,false,org.opengpx.SearchListActivity
false,false,org.opengpx.ImageViewerActivity
false,false,org.opengpx.ImageGridViewerActivity
false,false,org.opengpx.CacheListActivity
false,false,org.brandroid.openmanager.activities.ServerSetupActivity
false,false,org.brandroid.openmanager.activities.OpenFragmentActivity
false,false,org.brandroid.openmanager.activities.SettingsActivity
false,false,org.brandroid.openmanager.activities.BluetoothActivity
false,false,org.brandroid.openmanager.activities.WTFSenderActivity
false,false,org.brandroid.openmanager.activities.SearchableActivity
false,false,org.brandroid.openmanager.activities.UsbActivity
false,false,org.brandroid.openmanager.activities.SplashActivity
false,false,org.brandroid.openmanager.activities.FolderPickerActivity
false,false,org.brandroid.openmanager.activities.LauncherActivity
false,false,org.brandroid.openmanager.activities.FileScannerProgress
false,false,org.brandroid.openmanager.activities.SearchMakerActivity
false,false,org.brandroid.openmanager.activities.IncomingMessageInterstitial
false,false,org.adblockplus.android.AdvancedPreferences
false,false,org.adblockplus.android.SummarizedPreferences
false,false,org.adblockplus.android.updater.UpdaterActivity
false,false,org.adblockplus.android.ProxyConfigurationActivity
false,false,org.adblockplus.android.CrashReportDialog
false,false,org.adblockplus.android.Preferences
false,false,org.adblockplus.android.ConfigurationActivity
false,false,aarddict.android.Lookup
false,false,aarddict.android.LookupActivity
false,false,aarddict.android.BaseDictionaryActivity
false,false,aarddict.android.Article
false,false,aarddict.android.ArticleViewActivity
false,false,aarddict.android.DictionariesActivity
false,false,aarddict.android.DictionaryInfoActivity
false,false,com.watabou.pixeldungeon.PixelDungeon
false,false,com.eolwral.osmonitor.OSMonitorActivity
false,false,com.eolwral.osmonitor.OSMonitor
false,false,com.eolwral.osmonitor.preference.Preference
false,false,org.adw.launcher.catalogue.AppInfoMList
false,false,org.adw.launcher.CustomShirtcutActivity
false,false,org.adw.launcher.WallpaperChooser
false,false,org.adw.launcher.ActivityPickerActivity
false,false,org.adw.launcher.Launcher
false,false,org.adw.launcher.MyLauncherSettings
false,false,net.sourceforge.opencamera.TakePhoto
false,false,net.sourceforge.opencamera.MainActivity
false,false,org.hystudio.android.dosbox.MainActivity
false,false,com.google.android.stardroid.activities.DynamicStarMapActivity
false,false,com.google.android.stardroid.activities.ImageDisplayActivity
false,false,com.google.android.stardroid.activities.EulaActivity
false,false,com.google.android.stardroid.activities.ImageGalleryActivity
false,false,com.google.android.stardroid.activities.EditSettingsActivity
false,false,com.google.android.stardroid.activities.SplashScreenActivity
false,false,org.tint.ui.activities.BookmarksActivity
false,false,org.tint.ui.activities.TintBrowserActivity
false,false,org.tint.ui.preferences.PreferencesActivity
false,false,org.tint.ui.activities.EditBookmarkActivity
false,false,org.connectbot.EditHostActivity
false,false,org.connectbot.EulaActivity
false,false,org.connectbot.HintsActivity
false,false,org.connectbot.ConsoleActivity
false,false,org.connectbot.PubkeyListActivity
false,false,org.connectbot.AppCompatListActivity
false,false,org.connectbot.ColorsActivity
false,false,org.connectbot.AppCompatPreferenceActivity
false,false,org.connectbot.SettingsActivity
false,false,org.connectbot.PortForwardListActivity
false,false,org.connectbot.HelpActivity
false,false,org.connectbot.HostListActivity
false,false,org.connectbot.GeneratePubkeyActivity
false,false,ca.cmetcalfe.locationshare.SettingsActivity
false,false,ca.cmetcalfe.locationshare.MainActivity
false,false,com.internalpositioning.find3.find3app.MainActivity
false,false,se.tube42.kidsmem.android.MainActivity
false,false,net.gsantner.markor.activity.MainActivity
false,false,net.gsantner.markor.activity.openeditor.OpenEditorActivity
false,false,net.gsantner.markor.activity.SettingsActivity
false,false,net.gsantner.markor.activity.openeditor.OpenEditorTodoActivity
false,false,net.gsantner.markor.activity.DocumentActivity
false,false,net.gsantner.markor.activity.openeditor.OpenEditorQuickNoteActivity
false,false,net.gsantner.markor.activity.openeditor.OpenEditorLinkBoxActivity
false,false,cl.coders.faketraveler.MainActivity
false,false,cl.coders.faketraveler.MoreActivity
false,false,org.freshrss.easyrss.Home
false,false,ch.abertschi.adfree.view.MainActivity
false,false,net.pmarks.chromadoze.ChromaDoze
false,false,com.traffar.gomoku.gomokuActivity
false,false,com.mathi_amorim.emmanuel.metrictime.SettingsActivity
false,false,com.mathi_amorim.emmanuel.metrictime.MainActivity
false,false,com.liato.bankdroid.LockablePreferenceActivity
false,false,com.liato.bankdroid.AboutActivity
false,false,com.liato.bankdroid.LockableActivity
