lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,is_code_smell
31,10,13,true
30,9,13,true
231,23,11,true
108,17,9,true
105,15,15,true
166,20,11,true
21,11,10,true
142,20,18,true
488,33,16,true
47,11,10,true
190,21,10,true
31,10,9,true
39,10,14,true
1310,56,28,true
0,2,1,false
0,2,1,false
0,2,1,false
1,2,1,false
1,2,0,false
0,2,2,false
0,2,1,false
1,2,0,false
0,2,1,false
0,2,1,false
1,3,1,false
0,5,2,false
10,5,0,false
0,1,0,false
9,6,3,false
9,7,2,false
1,3,1,false
3,3,0,false
0,1,0,false
3,3,0,false
0,2,1,false
0,1,0,false
0,4,1,false
0,3,3,false
0,2,2,false
0,2,1,false
0,2,1,false
0,2,1,false
0,4,1,false
1,3,1,false
0,2,1,false
0,2,2,false
6,4,1,false
2,4,2,false
0,1,0,false
0,8,0,false
4,6,4,false
0,4,3,false
3,3,0,false
0,3,2,false
3,4,1,false
1,3,2,false
0,1,0,false
4,4,1,false
0,2,1,false
0,1,1,false
10,5,0,false
1,3,1,false
3,3,0,false
0,1,1,false
0,1,2,false
6,4,1,false
0,2,1,false
0,5,2,false
10,7,0,false
4,4,3,false
3,3,0,false
3,3,1,false
1,2,0,false
1,2,0,false
3,3,0,false
1,3,1,false
0,2,1,false
3,3,0,false
4,5,1,false
4,4,4,false
0,4,1,false
0,1,0,false
1,2,1,false
3,3,0,false
0,1,1,false
3,3,0,false
3,3,0,false
2,4,2,false
3,3,0,false
4,4,1,false
6,5,0,false
1,4,1,false
1,2,0,false
3,3,0,false
2,4,2,false
3,3,0,false
0,1,2,false
0,1,0,false
10,5,0,false
3,3,0,false
0,4,0,false
0,1,0,false
11,6,3,false
9,7,1,false
3,3,0,false
0,6,0,false
0,1,1,false
1,7,1,false
3,3,0,false
0,4,2,false
0,1,2,false
1,8,0,false
0,1,0,false
3,4,1,false
0,1,0,false
3,7,4,false
1,2,0,false
0,2,2,false
0,3,0,false
0,1,0,false
1,2,0,false
3,3,1,false
0,4,1,false
3,3,0,false
2,5,2,false
4,4,1,false
6,4,0,false
3,3,0,false
0,4,0,false
1,2,0,false
0,1,0,false
9,7,4,false
0,1,1,false
10,6,0,false
10,5,1,false
3,4,0,false
0,2,2,false
0,2,3,false
1,3,2,false
0,2,2,false
6,9,4,false
3,3,0,false
3,3,1,false
0,2,2,false
0,1,0,false
0,4,1,false
0,5,0,false
0,5,1,false
0,1,1,false
0,0,0,false
0,5,1,false
2,5,2,false
1,3,1,false
3,3,0,false
3,3,0,false
0,2,2,false
3,3,0,false
1,3,1,false
6,4,0,false
4,4,1,false
4,4,3,false
3,3,0,false
