lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,is_code_smell
9,7,1,False
9,7,1,False
7,6,3,False
7,6,3,False
7,6,3,False
7,6,3,False
7,6,3,False
211,26,19,True
62,16,16,True
192,21,18,True
74,17,11,True
614,36,32,True
302,29,42,True
455,38,40,True
1734,80,99,True
318,33,38,True
175,22,15,True
586,44,85,True
64,17,12,True
87,19,12,True
1997,70,85,True
65,22,28,True
69,23,43,True
101,18,16,True
114,21,12,True
82,16,10,True
2666,85,38,True
482,32,21,True
297,30,28,True
206,25,23,True
68,16,17,True
168,24,20,True
673,43,23,True
112,20,20,True
3890,96,42,True
131,22,22,True
191,22,34,True
150,20,12,True
144,20,21,True
154,20,14,True
2732,81,57,True
155,19,11,True
62,16,9,True
135,18,21,True
237,26,31,True
219,26,21,True
1915,67,52,True
66,17,9,True
225,35,29,True
214,29,22,True
217,31,40,True
296,25,20,True
63,15,9,True
557,43,19,True
174,24,26,True
206,32,21,True
200,24,14,True
197,26,30,True
507,38,12,True
104,33,9,True
71,15,9,True
57,15,18,True
168,20,12,True
507,35,26,True
261,27,24,True
497,34,23,True
222,25,11,True
2020,69,74,True
538,36,22,True
180,20,9,True
698,40,22,True
533,34,9,True
87,15,9,True
318,28,20,True
1354,61,24,True
177,23,11,True
92,16,12,True
52,17,31,True
165,23,11,True
90,17,15,True
113,18,10,True
136,20,27,True
1533,59,34,True
186,21,13,True
620,37,25,True
63,18,15,True
453,31,23,True
945,75,14,True
245,23,78,True
69,15,9,True
130,20,9,True
103,18,10,True
33640,260,9,True
331,30,17,True
71,15,11,True
1122,52,13,True
466,33,9,True
592,36,16,True
526,36,15,True
206,24,9,True
289,27,28,True
105,19,10,True
1230,53,14,True
148,21,10,True
1224,52,47,True
475,39,19,True
50,17,20,True
1183,54,40,True
883,47,15,True
252,29,13,True
65,15,17,True
2038,73,42,True
168,29,13,True
1621,59,28,True
424,37,23,True
127,18,9,True
628,40,79,True
92,16,10,True
665,42,27,True
1872,68,37,True
172,25,23,True
3050,85,75,True
153,18,9,True
308,29,21,True
175,31,13,True
196,24,14,True
2794,88,57,True
29,15,11,True
358,32,17,True
506,36,32,True
602,40,22,True
196,25,10,True
319,30,13,True
359,30,15,True
2306,72,27,True
1001,54,39,True
108,17,11,True
110,17,9,True
778,41,26,True
129,18,14,True
102,16,10,True
54,17,20,True
287,30,15,True
139,19,10,True
238,25,14,True
111,19,14,True
630,37,19,True
301,27,25,True
63,15,12,True
361,30,13,True
351,31,20,True
295,30,22,True
238,24,10,True
342,32,23,True
1834,64,18,True
387,30,11,True
244,25,12,True
925,47,29,True
185,26,46,True
1378,57,23,True
878,48,22,True
189,26,11,True
429,35,22,True
81,15,10,True
1005,50,34,True
2764,77,36,True
173,23,13,True
454,36,12,True
130,21,12,True
1304,57,36,True
