is_static,is_code_smell
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
False,true
