is_static,full_name
false,com.amaze.filemanager.adapters.DrawerAdapter$2
false,com.amaze.filemanager.adapters.DrawerAdapter$1
false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$1
false,com.amaze.filemanager.utils.Futils$16
false,com.amaze.filemanager.utils.Futils$15
false,com.amaze.filemanager.utils.Futils$14
false,com.amaze.filemanager.utils.Futils$13
false,com.amaze.filemanager.utils.Futils$12
false,com.amaze.filemanager.utils.Futils$11
false,com.amaze.filemanager.utils.Futils$10
false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$2
false,com.amaze.filemanager.adapters.HiddenAdapter$ViewHolder
false,com.amaze.filemanager.services.ZipTask$Doback
false,com.amaze.filemanager.services.asynctasks.ZipHelperTask$FileListSorter
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$11
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$10
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$13
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$12
false,com.amaze.filemanager.adapters.TabSpinnerAdapter$1
false,com.amaze.filemanager.activities.MainActivity$1
false,com.amaze.filemanager.activities.MainActivity$2
false,com.amaze.filemanager.services.ExtractService$1
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$5
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$6
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$3
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$4
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$9
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$7
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$8
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$1
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$2
false,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$2
false,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$1
false,com.amaze.filemanager.activities.MainActivity$5
false,com.amaze.filemanager.activities.MainActivity$6
false,com.amaze.filemanager.activities.MainActivity$3
false,com.amaze.filemanager.activities.MainActivity$4
false,com.amaze.filemanager.activities.MainActivity$9
false,com.amaze.filemanager.activities.MainActivity$7
false,com.amaze.filemanager.activities.MainActivity$8
false,com.amaze.filemanager.services.ZipTask$1
false,com.amaze.filemanager.ui.icons.IconHolder$1
false,com.amaze.filemanager.ui.icons.IconHolder$2
false,com.amaze.filemanager.fragments.TabFragment$ScreenSlidePagerAdapter
false,com.amaze.filemanager.adapters.HiddenAdapter$1
false,com.amaze.filemanager.adapters.HiddenAdapter$2
false,com.androidemu.nes.EmulatorActivity$4
false,com.androidemu.nes.EmulatorActivity$3
false,com.androidemu.nes.EmulatorActivity$6
false,com.androidemu.nes.EmulatorActivity$5
false,com.androidemu.nes.CheatsActivity$1
false,com.androidemu.nes.NetPlayService$TCPServerThread
false,com.androidemu.nes.NetPlayService$NetThread
false,com.androidemu.nes.EmulatorActivity$2
false,com.androidemu.nes.EmulatorActivity$1
false,com.androidemu.nes.DeviceListActivity$1
false,com.androidemu.nes.DeviceListActivity$3
false,com.androidemu.nes.DeviceListActivity$2
false,com.androidemu.Emulator$1
false,com.androidemu.nes.EmulatorActivity$NetWaitDialog
false,com.androidemu.Cheats$Item
false,com.androidemu.nes.NetPlayService$BluetoothClientThread
false,com.androidemu.nes.KeyProfilesActivity$2
false,com.androidemu.nes.KeyProfilesActivity$1
false,com.androidemu.nes.StateSlotsActivity$SaveSlotAdapter
false,com.androidemu.nes.NetPlayService$TCPClientThread
false,com.androidemu.nes.NetPlayService$BluetoothServerThread
false,com.androidemu.nes.MainActivity$1
false,com.androidemu.nes.HelpActivity$1
false,anupam.acrylic.EasyPaint$2
false,anupam.acrylic.EasyPaint$1
false,anupam.acrylic.Splash$1
false,anupam.acrylic.EasyPaint$6
false,anupam.acrylic.EasyPaint$5
false,anupam.acrylic.EasyPaint$4
false,anupam.acrylic.EasyPaint$3
false,anupam.acrylic.EasyPaint$MyView
false,anupam.acrylic.ColorPickerDialog$1
false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$1
false,org.bottiger.podcast.utils.PaletteHelper$1$1
false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$4
false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$5
false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$2
false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$3
false,org.bottiger.podcast.Player.LegacyRemoteController$1
false,org.bottiger.podcast.utils.FragmentUtils$1
false,org.bottiger.podcast.FragmentContainerActivity$2
false,org.bottiger.podcast.FragmentContainerActivity$1
false,org.bottiger.podcast.Player.SoundWavesPlayer$3
false,org.bottiger.podcast.Player.SoundWavesPlayer$4
false,org.bottiger.podcast.Player.SoundWavesPlayer$1
false,org.bottiger.podcast.Player.SoundWavesPlayer$2
false,org.bottiger.podcast.adapters.PlaylistAdapter$2
false,org.bottiger.podcast.adapters.PlaylistAdapter$1
false,org.bottiger.podcast.views.dialogs.DialogSearchDirectory$1
false,org.bottiger.podcast.ToolbarActivity$1
false,org.bottiger.podcast.ToolbarPreference$1
false,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$1
false,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$2
false,org.bottiger.podcast.views.FeedViewQueueButton$1
false,org.bottiger.podcast.provider.Subscription$1
false,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$1
false,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$2
false,org.bottiger.podcast.playlist.GenericSubscriptionLoader$1
false,org.bottiger.podcast.views.PlayerSeekbar$1
false,org.bottiger.podcast.Player.PlayerStateManager$1
false,org.bottiger.podcast.service.Downloader.engines.OkHttpDownloader$1
false,org.bottiger.podcast.SubscriptionsFragment$3
false,org.bottiger.podcast.SubscriptionsFragment$2
false,org.bottiger.podcast.SubscriptionsFragment$1
false,org.bottiger.podcast.SubscriptionsFragment$4
false,org.bottiger.podcast.FeedActivity$4
false,org.bottiger.podcast.FeedActivity$3
false,org.bottiger.podcast.FeedActivity$2
false,org.bottiger.podcast.FeedActivity$1
false,org.bottiger.podcast.FeedActivity$7
false,org.bottiger.podcast.FeedActivity$6
false,org.bottiger.podcast.FeedActivity$5
false,org.bottiger.podcast.PodcastSubscriberActivity$1
false,org.bottiger.podcast.utils.OPMLImportExport$1
false,org.bottiger.podcast.playlist.ReorderCursor$1
false,org.bottiger.podcast.playlist.GenericCursorLoader$1
false,org.bottiger.podcast.playlist.GenericCursorLoader$2
false,org.bottiger.podcast.views.DownloadButtonView$1
false,org.bottiger.podcast.fetcher.StreamDownloader$1
false,org.bottiger.podcast.MainActivity$1
false,org.bottiger.podcast.views.dialogs.DialogOPML$1
false,org.bottiger.podcast.views.dialogs.DialogOPML$2
false,org.bottiger.podcast.views.dialogs.DialogOPML$3
false,org.bottiger.podcast.views.dialogs.DialogOPML$4
false,org.bottiger.podcast.SettingsActivity$1
false,org.bottiger.podcast.utils.navdrawer.NavigationDrawerMenuGenerator$2
false,org.bottiger.podcast.utils.navdrawer.NavigationDrawerMenuGenerator$1
false,org.bottiger.podcast.adapters.DiscoverySearchAdapter$3
false,org.bottiger.podcast.adapters.DiscoverySearchAdapter$2
false,org.bottiger.podcast.adapters.DiscoverySearchAdapter$1
false,org.bottiger.podcast.DiscoveryFeedActivity$1
false,org.bottiger.podcast.service.PlayerService$1
false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$1
false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$2
false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$3
false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$4
false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$5
false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$6
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$1
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$3
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$5
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$4
false,org.bottiger.podcast.DrawerActivity$1
false,org.bottiger.podcast.DrawerActivity$2
false,org.bottiger.podcast.DrawerActivity$3
false,org.bottiger.podcast.DrawerActivity$4
false,org.bottiger.podcast.DrawerActivity$5
false,org.bottiger.podcast.DrawerActivity$6
false,org.bottiger.podcast.DrawerActivity$7
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$7
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$6
