lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
0,4,2,org.codehaus.jackson.map.ser.StdSerializerProvider$WrappedSerializer
0,1,2,org.codehaus.jackson.map.jsontype.impl.StdTypeResolverBuilder$1
1,8,0,org.codehaus.jackson.map.DeserializerFactory
0,1,0,aarddict.android.OpeningProgressDialog
3,4,1,org.codehaus.jackson.map.ser.ArraySerializers$AsArraySerializer
0,1,0,org.codehaus.jackson.map.KeyDeserializer$None
3,7,4,org.codehaus.jackson.io.UTF32Reader
1,2,0,org.codehaus.jackson.map.ser.ArraySerializers
0,2,2,aarddict.android.ArticleViewActivity$4$1
0,3,0,org.codehaus.jackson.annotate.JsonTypeInfo
0,1,0,org.codehaus.jackson.schema.SchemaAware
1,2,0,org.codehaus.jackson.map.ser.JdkSerializers
3,3,1,org.codehaus.jackson.JsonGenerationException
0,4,1,org.codehaus.jackson.map.deser.SettableBeanProperty$FieldProperty
3,3,0,org.codehaus.jackson.impl.ReaderBasedNumericParser
2,5,2,org.codehaus.jackson.map.ext.JodaSerializers$JodaSerializer
4,4,1,org.codehaus.jackson.map.ObjectMapper$DefaultTypeResolverBuilder
6,4,0,org.codehaus.jackson.map.ext.JodaSerializers$DateTimeSerializer
3,3,0,org.codehaus.jackson.map.deser.StdKeyDeserializer$LongKD
0,4,0,org.codehaus.jackson.map.jsontype.TypeIdResolver
1,2,0,org.codehaus.jackson.impl.Utf8NumericParser
0,1,0,org.codehaus.jackson.map.JsonDeserializer$None
9,7,4,org.codehaus.jackson.map.ser.CustomSerializerFactory
0,1,1,org.codehaus.jackson.annotate.JsonAutoDetect$1
10,6,0,org.codehaus.jackson.node.ValueNode
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$CalendarSerializer
3,4,0,org.codehaus.jackson.map.JsonSerializer
0,2,2,aarddict.android.DictionariesActivity$DictListAdapter$ProgressListener$2
0,2,3,aarddict.android.DictionariesActivity$DictListAdapter$ProgressListener$1
1,3,2,aarddict.android.ScrollXY
0,2,2,aarddict.android.ArticleViewActivity$8$1
6,9,4,org.codehaus.jackson.map.util.JSONWrappedObject
3,3,0,org.codehaus.jackson.map.util.ArrayBuilders$FloatBuilder
3,3,1,org.codehaus.jackson.map.introspect.BasicClassIntrospector$SetterAndGetterMethodFilter
0,2,2,aarddict.android.ArticleViewActivity$10$1
0,1,0,aarddict.android.DiscoveryProgressDialog
0,4,1,org.codehaus.jackson.map.deser.SettableBeanProperty$MethodProperty
0,5,0,org.codehaus.jackson.map.jsontype.TypeResolverBuilder
0,5,1,org.codehaus.jackson.map.BeanDescription
0,1,1,org.codehaus.jackson.map.ext.JodaDeserializers$1
0,0,0,org.codehaus.jackson.annotate.JsonAnySetter
0,5,1,org.codehaus.jackson.schema.JsonSchema
2,5,2,org.codehaus.jackson.map.deser.ArrayDeserializers
1,3,1,org.codehaus.jackson.map.ext.CoreXMLSerializers
3,3,0,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DOMNodeDeserializer
3,3,0,org.codehaus.jackson.map.ext.CoreXMLDeserializers$GregorianCalendarDeserializer
0,2,2,org.codehaus.jackson.map.deser.PropertyValue$Any
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$DoubleDeserializer
1,3,1,org.codehaus.jackson.map.deser.EnumDeserializer
6,4,0,org.codehaus.jackson.map.ser.StdSerializers$StringSerializer
4,4,1,org.codehaus.jackson.type.TypeReference
4,4,3,org.codehaus.jackson.map.annotate.JsonSerialize$Typing
