lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
1,2,1,androidx.appcompat.widget.ac
0,4,1,androidx.core.f.a.c$a
1,2,0,androidx.core.f.a.c$b
0,6,1,androidx.g.a.a.i$h
0,7,3,androidx.g.a.a.i$e
6,4,0,androidx.g.a.a.i$d
10,5,0,androidx.g.a.a.i$a
0,2,2,androidx.appcompat.widget.c$c
10,5,0,androidx.fragment.app.m$1
8,5,2,androidx.appcompat.widget.c$d
0,2,1,androidx.appcompat.widget.c$e
0,3,1,androidx.appcompat.widget.c$f
0,1,0,androidx.lifecycle.q$a
0,2,0,androidx.appcompat.view.c
0,9,1,androidx.appcompat.view.a
0,2,1,androidx.appcompat.widget.c$a
0,2,1,androidx.appcompat.widget.c$b
0,1,0,androidx.appcompat.view.menu.g$b
0,5,2,androidx.lifecycle.LiveData$LifecycleBoundObserver
0,2,0,androidx.appcompat.view.menu.g$a
0,4,2,androidx.lifecycle.a$b
1,3,2,androidx.lifecycle.a$a
0,1,1,androidx.lifecycle.FullLifecycleObserverAdapter$1
0,2,2,androidx.lifecycle.ReflectiveGenericLifecycleObserver
0,5,4,androidx.core.d.a$a$a
4,8,3,androidx.d.a.a
0,2,3,androidx.core.f.w$2
0,4,3,androidx.core.f.w$1
1,2,0,androidx.fragment.app.l$1
0,0,0,androidx.g.a.a.i$1
0,1,0,androidx.appcompat.widget.bd
13,6,2,androidx.appcompat.widget.bb
4,4,1,androidx.appcompat.widget.bc
0,2,3,androidx.appcompat.app.AlertController$a$4
0,2,2,androidx.appcompat.app.AlertController$a$3
0,2,2,androidx.appcompat.app.AlertController$a$1
0,1,0,androidx.appcompat.widget.ay
1,2,4,androidx.appcompat.widget.au
0,2,1,androidx.appcompat.widget.av
0,2,0,androidx.appcompat.widget.as
14,8,4,androidx.appcompat.widget.at
0,2,0,androidx.appcompat.widget.al
0,1,0,androidx.appcompat.widget.ah
0,2,1,androidx.appcompat.widget.Toolbar$3
0,2,1,androidx.appcompat.view.menu.i$1
0,3,0,androidx.lifecycle.o$a
10,5,0,androidx.fragment.app.k$1
0,2,1,androidx.appcompat.widget.Toolbar$2
0,2,1,androidx.appcompat.widget.Toolbar$1
0,2,2,androidx.appcompat.widget.ActionBarContextView$1
0,3,4,androidx.appcompat.app.AppCompatViewInflater$a
0,4,1,androidx.c.a.b
0,3,3,androidx.c.a.c
0,5,1,ca.cmetcalfe.locationshare.MainActivity$1
0,7,1,androidx.appcompat.widget.Toolbar$b
0,2,1,androidx.appcompat.app.i$2
0,2,1,androidx.appcompat.app.i$1
0,2,0,androidx.core.graphics.h$a
0,1,0,androidx.core.widget.NestedScrollView$b
6,4,0,androidx.core.widget.NestedScrollView$a
4,5,2,androidx.core.widget.NestedScrollView$c
0,0,0,androidx.appcompat.a
0,1,0,androidx.appcompat.widget.d$b
0,2,4,androidx.fragment.app.j$4
0,5,3,androidx.appcompat.widget.d$c
0,1,1,androidx.fragment.app.j$5
0,1,0,androidx.appcompat.widget.d$d
1,3,1,androidx.appcompat.widget.d$e
0,1,0,androidx.core.app.CoreComponentFactory$a
0,2,1,androidx.fragment.app.j$1
0,2,3,androidx.fragment.app.j$2
0,2,4,androidx.fragment.app.j$3
10,5,0,androidx.core.widget.NestedScrollView$c$1
1,6,2,androidx.appcompat.widget.d$a
0,3,1,androidx.appcompat.app.i$c
1,3,1,androidx.appcompat.app.i$b
3,3,2,androidx.core.widget.c
0,3,2,androidx.appcompat.app.i$a
0,1,1,androidx.core.widget.b
6,4,0,androidx.core.widget.e
0,1,0,androidx.core.widget.d
0,1,0,androidx.core.widget.g
10,5,1,androidx.core.graphics.h$1
10,5,1,androidx.core.graphics.h$2
0,4,1,androidx.core.widget.f
3,3,4,androidx.core.widget.h
0,4,0,androidx.core.widget.k
0,2,0,androidx.core.widget.j
3,3,0,com.android.volley.toolbox.JsonArrayRequest
0,2,3,com.android.volley.Request$1
3,3,3,com.eolwral.osmonitor.db.PreferenceDBHelper
0,2,2,com.android.volley.toolbox.NetworkImageView$1$1
1,3,2,com.eolwral.osmonitor.OSMonitor$OSMonitorPagerAdapter
3,3,0,com.eolwral.osmonitor.OSMonitorActivity
0,1,0,com.android.volley.Response$Listener
3,3,0,com.android.volley.toolbox.JsonObjectRequest
0,1,0,com.android.volley.Response$ErrorListener
0,1,0,com.android.volley.TimeoutError
0,1,0,net.margaritov.preference.colorpicker.ColorPickerDialog$OnColorChangedListener
0,2,2,com.android.volley.ExecutorDelivery$1
1,2,3,com.eolwral.osmonitor.util.ProcessUtil$CacheItem
0,2,2,com.android.volley.RequestQueue$1
6,4,1,com.eolwral.osmonitor.ui.ProcessFragment$SortbyMemory
3,3,0,com.android.volley.ParseError
1,3,1,com.eolwral.osmonitor.preference.OSMPreference$preferencScreenChangeListener
1,2,0,com.android.volley.NoConnectionError
0,1,0,com.android.volley.Network
1,3,4,com.eolwral.osmonitor.preference.ProcessorPreference$ProcessorListAdapter$3
1,3,1,com.eolwral.osmonitor.preference.ProcessorPreference$ProcessorListAdapter$2
1,3,4,com.eolwral.osmonitor.preference.ProcessorPreference$ProcessorListAdapter$4
0,2,1,com.eolwral.osmonitor.preference.ProcessorPreference$ProcessorListAdapter$1
0,3,2,com.eolwral.osmonitor.ui.MessageFragment$HiddenTypeMenu
0,1,0,com.android.volley.toolbox.HurlStack$UrlRewriter
1,3,1,com.eolwral.osmonitor.ui.ConnectionFragment$PrepareQuery
0,0,0,com.eolwral.osmonitor.ui.MiscProcessorFragment$1
0,5,1,com.android.volley.toolbox.DiskBasedCache$CountingInputStream
0,1,3,net.margaritov.preference.colorpicker.R$string
0,1,4,com.eolwral.osmonitor.ui.ConnectionFragment$CacheQuery
1,2,0,com.android.volley.ServerError
0,1,0,com.android.volley.toolbox.HttpStack
1,3,1,com.eolwral.osmonitor.ui.ProcessFragment$SortMenuClickListener
0,2,0,com.android.volley.toolbox.Authenticator
0,0,0,com.eolwral.osmonitor.preference.OSMPreference$1
1,3,1,com.eolwral.osmonitor.ui.ProcessFragment$KillButtonClickListener
3,3,1,com.android.volley.toolbox.Volley
0,2,4,com.eolwral.osmonitor.ui.ProcessFragment$ProcessListAdapter$ProcessItemMenu
0,1,2,com.google.flatbuffers.Struct
0,2,1,com.eolwral.osmonitor.ui.MiscFragment$1
0,0,0,com.android.volley.toolbox.DiskBasedCache$1
0,0,0,com.eolwral.osmonitor.ui.ProcessPriorityFragment$1
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$ProcessListAdapter$1
6,4,1,com.eolwral.osmonitor.ui.ProcessFragment$SortbyUsage
0,0,0,com.eolwral.osmonitor.preference.ProcessorPreference$1
0,0,0,com.eolwral.osmonitor.util.HttpUtil$1
0,1,0,net.margaritov.preference.colorpicker.R
0,1,0,com.eolwral.osmonitor.ipc.IpcService$ipcClientListener
4,4,1,com.eolwral.osmonitor.ui.ProcessFragment$ToolActionExpandListener
1,3,1,com.eolwral.osmonitor.preference.OSMPreference$preferencChangeListener
0,2,1,com.eolwral.osmonitor.ui.MiscFragment$MiscListAdapter$1
0,2,1,com.eolwral.osmonitor.ui.MiscFragment$MiscListAdapter$2
0,1,0,com.android.volley.toolbox.ImageLoader$ImageListener
0,1,0,com.android.volley.RequestQueue$RequestFinishedListener
0,2,4,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable
1,3,3,com.eolwral.osmonitor.ui.ConnectionStaticMapFragment
1,3,1,com.eolwral.osmonitor.ui.ConnectionFragment$QueryWhois$ResponseError
8,5,1,com.android.volley.toolbox.StringRequest
6,4,1,com.eolwral.osmonitor.ui.ProcessFragment$SortbyCPUTime
10,5,0,net.margaritov.preference.colorpicker.ColorPickerPreference$SavedState$1
0,1,3,com.android.volley.VolleyLog$MarkerLog$Marker
0,0,0,com.eolwral.osmonitor.util.ProcessUtil$1
6,9,3,com.eolwral.osmonitor.ui.ProcessFragment$ProcessListAdapter
1,2,0,com.android.volley.ClientError
0,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$5$1
0,2,1,com.eolwral.osmonitor.OSMonitorService$1
0,5,1,com.eolwral.osmonitor.ui.MessageFragment$MessageListAdapter$MessageFilter
0,2,1,com.eolwral.osmonitor.OSMonitorService$2
0,2,1,com.android.volley.toolbox.ImageLoader$4
0,2,2,com.android.volley.toolbox.ImageLoader$3
1,3,2,com.android.volley.toolbox.ImageLoader$2
0,3,3,com.android.volley.toolbox.ImageLoader$1
3,3,1,com.eolwral.osmonitor.ui.ConnectionFragment$QueryWhois
1,3,3,com.eolwral.osmonitor.ui.ConnectionFragment$QueryWhois$Response
0,2,1,com.eolwral.osmonitor.BootUpReceiver$1
0,2,2,com.eolwral.osmonitor.ui.MessageFragment$MessageListAdapter$MessageItemMenu
0,4,1,com.eolwral.osmonitor.ui.MessageProcessFragment
0,2,0,com.android.volley.toolbox.ImageLoader$ImageCache
0,3,0,com.android.volley.ResponseDelivery
4,4,1,com.eolwral.osmonitor.ui.ProcessFragment$SortbyName
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$MessageListAdapter$1
0,1,1,net.margaritov.preference.colorpicker.R$layout
0,7,2,com.android.volley.VolleyError
0,1,0,com.android.volley.RequestQueue$RequestFilter
0,6,4,com.android.volley.VolleyLog$MarkerLog
8,5,2,com.android.volley.toolbox.ClearCacheRequest
0,2,1,com.eolwral.osmonitor.settings.SettingsHelper$contentObserver
0,2,2,com.eolwral.osmonitor.ui.MessageFragment$MessageListAdapter$MenuLongClickListener
1,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$2
0,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$1
0,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$6
0,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$5
1,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$4
1,2,1,com.eolwral.osmonitor.ui.ConnectionFragment$3
0,2,2,com.eolwral.osmonitor.ui.ProcessFragment$ProcessListAdapter$ProcessLongClickListener
0,6,0,com.android.volley.Cache
11,7,2,com.eolwral.osmonitor.preference.ProcessorPreference$ProcessorListAdapter
1,2,1,com.eolwral.osmonitor.ui.ProcessLogViewFragment$MessageListAdapter$1
4,5,1,com.eolwral.osmonitor.BootUpReceiver
0,1,4,com.eolwral.osmonitor.settings.Settings$StatusBarColor
1,2,1,com.eolwral.osmonitor.ui.MessageFragment$8
1,2,1,com.eolwral.osmonitor.ui.MessageFragment$9
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$4
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$5
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$6
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$7
1,3,1,com.eolwral.osmonitor.ui.MessageFragment$1
4,4,1,com.eolwral.osmonitor.ui.MessageFragment$2
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$3
0,3,2,com.android.volley.toolbox.NetworkImageView$1
1,3,1,com.eolwral.osmonitor.ui.MiscProcessorFragment$ProcessorListAdapter$2
1,3,4,com.eolwral.osmonitor.ui.MiscProcessorFragment$ProcessorListAdapter$3
0,2,1,com.eolwral.osmonitor.ui.MiscProcessorFragment$ProcessorListAdapter$1
1,3,4,com.eolwral.osmonitor.ui.MiscProcessorFragment$ProcessorListAdapter$4
10,5,0,com.android.volley.toolbox.HttpHeaderParser
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$5
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$4
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$7
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$6
0,1,1,com.eolwral.osmonitor.ui.ProcessFragment$8
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$1
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$3
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$2
0,1,3,com.google.flatbuffers.Constants
0,1,0,net.margaritov.preference.colorpicker.ColorPickerView$OnColorChangedListener
6,4,1,com.eolwral.osmonitor.ui.ProcessFragment$SortbyStatus
1,3,1,com.eolwral.osmonitor.ui.ProcessPriorityFragment$SetPriorityListener
0,2,1,com.eolwral.osmonitor.ui.MessageFragment$11
0,1,1,com.eolwral.osmonitor.ui.MessageFragment$12
1,2,1,com.eolwral.osmonitor.ui.MessageFragment$10
0,5,1,com.android.volley.ExecutorDelivery
6,4,1,com.eolwral.osmonitor.ipc.IpcService$QueuedComparator
0,3,0,com.android.volley.RetryPolicy
6,4,1,com.android.volley.toolbox.HttpClientStack$HttpPatch
0,2,1,net.margaritov.preference.colorpicker.ColorPickerDialog$1
0,9,2,com.google.flatbuffers.Table
0,4,2,com.eolwral.osmonitor.util.HttpUtil$ImageLruCache
5,7,4,com.eolwral.osmonitor.util.HttpUtil
4,5,4,com.android.volley.Response
0,0,0,com.eolwral.osmonitor.ipc.IpcService$1
4,4,1,com.eolwral.osmonitor.ui.ProcessPriorityFragment$SelectPriorityListener
0,2,2,com.android.volley.CacheDispatcher$1
9,6,3,com.eolwral.osmonitor.ui.ConnectionFragment$ConnectionListAdapter
3,6,3,com.eolwral.osmonitor.ui.ProcessLogViewFragment$MessageListAdapter
9,7,2,com.android.volley.toolbox.PoolingByteArrayOutputStream
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$SortMenuClickListener$1
0,2,1,com.eolwral.osmonitor.ui.ProcessFragment$SortMenuClickListener$2
4,4,2,net.margaritov.preference.colorpicker.ColorPickerPreference$SavedState
4,4,3,com.eolwral.osmonitor.ui.MessageFragment$PrintDmesgFormat
4,4,3,com.eolwral.osmonitor.ui.ProcessFragment$KillMode
0,4,2,com.eolwral.osmonitor.ui.ProcessFragment$ProcessListAdapter$ProcessClickListener
5,7,4,com.android.volley.toolbox.AndroidAuthenticator
3,3,0,com.android.volley.toolbox.ByteArrayPool$1
11,7,2,com.eolwral.osmonitor.ui.MiscProcessorFragment$ProcessorListAdapter
1,2,1,com.eolwral.osmonitor.ui.ProcessLogViewFragment$2
0,2,1,com.eolwral.osmonitor.ui.ProcessLogViewFragment$1
1,2,1,com.eolwral.osmonitor.ui.ProcessLogViewFragment$4
1,2,1,com.eolwral.osmonitor.ui.ProcessLogViewFragment$3
0,2,1,com.eolwral.osmonitor.ui.ProcessLogViewFragment$1$1
0,2,2,com.eolwral.osmonitor.ui.MessageFragment$MessageListAdapter$MenuShortClickListener
6,4,1,com.eolwral.osmonitor.ui.ProcessFragment$SortbyPid
0,2,1,com.eolwral.osmonitor.OSMonitor$1
0,1,4,com.eolwral.osmonitor.util.ProcessUtil$QueueJob
1,3,1,com.eolwral.osmonitor.ui.MiscFragment$MiscListAdapter$ProcessorClickListener
3,3,0,com.android.volley.NetworkError
0,0,0,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonBooleanFormatVisitor
6,4,0,com.fasterxml.jackson.databind.deser.BeanDeserializerModifier
0,3,0,com.google.common.collect.PeekingIterator
0,2,2,com.liato.bankdroid.banking.banks.swedbank.model.ErrorResponse
0,2,1,org.jsoup.select.NodeTraversor
0,4,2,com.google.common.collect.LinkedListMultimap$3$1
4,4,3,org.simpleframework.xml.stream.Verbosity
1,2,0,org.simpleframework.xml.core.SignatureBuilder$ParameterList
9,6,1,org.simpleframework.xml.util.Resolver$Stack
0,2,2,com.fasterxml.jackson.databind.util.ViewMatcher$Single
0,3,2,com.google.common.collect.Maps$AbstractFilteredMap$Values$1
0,0,0,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonAnyFormatVisitor
0,0,0,org.simpleframework.xml.stream.HyphenBuilder$1
0,1,0,org.simpleframework.xml.stream.NodeException
0,2,1,com.google.common.collect.MapMaker$LinkedWeakEntry
4,4,4,com.liato.bankdroid.lockpattern.LockPatternView$DisplayMode
1,3,1,com.fasterxml.jackson.databind.ext.CoreXMLSerializers
2,4,2,com.fasterxml.jackson.databind.jsontype.impl.MinimalClassNameIdResolver
9,6,1,com.google.common.collect.Maps$FilteredEntryMap$EntrySet
0,0,0,org.jsoup.safety.Cleaner$1
0,4,4,com.google.common.collect.ImmutableMultimap$EntryCollection$1
0,3,3,com.google.common.collect.ImmutableEntry
4,4,2,com.google.common.base.Joiner$1
0,1,0,com.fasterxml.jackson.databind.util.Converter
4,4,1,com.google.common.base.Joiner$2
0,1,0,com.fasterxml.jackson.core.Versioned
0,3,3,com.google.common.base.Joiner$3
0,1,1,com.fasterxml.jackson.databind.deser.AbstractDeserializer$1
3,3,0,org.jsoup.select.Evaluator$AttributeWithValueEnding
0,2,1,org.simpleframework.xml.strategy.WriteState
0,1,0,com.fasterxml.jackson.databind.annotation.JsonNaming
0,3,1,org.jsoup.select.Evaluator$AttributeStarting
0,2,1,eu.nullbyte.android.urllib.Urllib$DefaultishRequestDirector
0,2,0,com.fasterxml.jackson.annotation.JsonPropertyOrder
0,1,0,com.fasterxml.jackson.databind.ser.ContextualSerializer
1,3,2,com.google.common.collect.EmptyImmutableListMultimap
3,3,0,com.fasterxml.jackson.databind.RuntimeJsonMappingException
8,5,1,org.jsoup.nodes.Attributes$Dataset
0,1,0,com.fasterxml.jackson.annotation.JsonSubTypes
0,7,2,com.fasterxml.jackson.databind.ser.impl.FilteredBeanPropertyWriter$MultiView
0,5,3,com.google.common.collect.Iterators$PeekingImpl
1,2,4,com.liato.bankdroid.banking.banks.SJPrio
0,6,0,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonObjectFormatVisitor
10,5,0,org.simpleframework.xml.stream.Stack
0,4,2,com.google.common.collect.LinkedListMultimap$AsMapEntries$1$1
0,3,4,com.google.common.collect.Lists$TwoPlusArrayList
0,4,2,org.simpleframework.xml.strategy.VisitorStrategy
0,2,0,com.google.common.collect.CustomConcurrentHashMap$ComputingStrategy
3,3,0,org.simpleframework.xml.stream.DocumentReader$End
1,3,1,com.fasterxml.jackson.databind.ser.std.StdArraySerializers
0,3,1,org.jsoup.select.Evaluator$ContainsText
6,4,0,com.google.common.collect.Multisets$AbstractEntry
0,2,2,com.fasterxml.jackson.databind.util.ViewMatcher$Multi
0,3,1,org.simpleframework.xml.transform.DateType$DateFormat
3,3,0,org.jsoup.select.Evaluator$IsFirstChild
0,7,1,com.google.common.collect.AbstractMultimap$Entries
1,2,0,org.jsoup.safety.Whitelist$AttributeValue
1,2,1,com.fasterxml.jackson.core.JsonParseException
4,9,2,org.simpleframework.xml.stream.PullReader
6,4,1,com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$FloatDeser
0,0,0,com.fasterxml.jackson.annotation.JsonAnySetter
0,0,0,org.simpleframework.xml.stream.DocumentReader$1
3,3,0,com.google.common.collect.MapConstraints$ConstrainedEntrySet
0,2,2,com.fasterxml.jackson.databind.ser.impl.SimpleBeanPropertyFilter$FilterExceptFilter
0,7,2,com.google.common.collect.CompoundOrdering
0,1,2,com.google.common.collect.Ordering$IncomparableValueException
10,5,0,org.simpleframework.xml.transform.DoubleTransform
0,3,4,com.google.common.collect.ImmutableMultiset$1
0,4,2,com.fasterxml.jackson.databind.util.NameTransformer$Chained
6,9,0,com.fasterxml.jackson.databind.cfg.HandlerInstantiator
0,3,1,org.simpleframework.xml.stream.PullProvider
1,2,1,com.liato.bankdroid.DataRetrieverTask$1
0,5,3,com.google.common.base.Functions$ForMapWithDefault
0,7,3,com.fasterxml.jackson.databind.type.TypeParser$MyTokenizer
1,2,0,org.simpleframework.xml.core.AttributeParameter$Contact
11,6,3,org.simpleframework.xml.core.ParameterFactory$ParameterBuilder
0,1,0,com.fasterxml.jackson.databind.util.Named
0,5,2,com.google.common.base.Functions$FunctionForMapNoDefault
0,3,0,com.liato.bankdroid.lockpattern.LockPatternView$OnPatternListener
0,5,3,com.google.common.collect.ByFunctionOrdering
8,9,4,com.fasterxml.jackson.databind.ser.impl.SimpleFilterProvider
3,3,0,com.fasterxml.jackson.databind.ext.CoreXMLDeserializers$QNameDeserializer
0,2,2,com.google.common.collect.ImmutableSortedMap$SerializedForm
2,4,2,com.fasterxml.jackson.databind.ser.impl.JsonSerializerMap
3,6,1,org.jsoup.nodes.FormElement
0,2,1,com.liato.bankdroid.BetterPopupWindow$1
0,0,0,org.simpleframework.xml.util.WeakCache$1
0,1,2,com.liato.bankdroid.banking.banks.rikslunchen.model.Envelope$Body$GetBalanceResponse$Return
3,3,0,com.fasterxml.jackson.databind.deser.std.JacksonDeserializers$TokenBufferDeserializer
1,2,0,org.simpleframework.xml.core.ElementException
0,3,2,com.google.common.collect.ImmutableMultimap$Values$1
14,9,2,org.jsoup.helper.HttpConnection$KeyVal
3,3,0,com.fasterxml.jackson.databind.util.ArrayBuilders$ByteBuilder
0,1,1,com.liato.bankdroid.banking.exceptions.LoginException
1,2,0,org.simpleframework.xml.convert.ScannerBuilder
0,2,3,com.liato.bankdroid.WebViewActivity$2
0,2,1,com.liato.bankdroid.WebViewActivity$1
1,2,0,org.simpleframework.xml.strategy.CycleException
1,2,0,org.simpleframework.xml.stream.ProviderFactory
1,4,4,com.fasterxml.jackson.core.io.CharacterEscapes
0,4,0,com.google.common.collect.MapDifference$ValueDifference
0,1,0,org.simpleframework.xml.util.Match
0,4,4,org.simpleframework.xml.strategy.WriteGraph
0,5,2,org.jsoup.helper.DescendableLinkedList$DescendingIterator
1,2,0,org.jsoup.select.Evaluator$IsFirstOfType
10,5,0,com.fasterxml.jackson.databind.ser.std.StdJdkSerializers$AtomicBooleanSerializer
1,2,0,com.fasterxml.jackson.databind.ser.impl.FilteredBeanPropertyWriter
2,8,2,com.fasterxml.jackson.core.sym.Name
6,4,1,org.simpleframework.xml.core.Composite$Injector
0,3,2,org.jsoup.nodes.Node$OuterHtmlVisitor
0,1,2,org.jsoup.select.Evaluator$AttributeKeyPair
3,3,0,org.jsoup.select.Evaluator$IsNthLastOfType
6,5,2,com.liato.bankdroid.banking.banks.swedbank.model.Amount
7,7,3,com.fasterxml.jackson.databind.util.JSONPObject
0,2,2,com.google.common.collect.ImmutableCollection$SerializedForm
0,2,1,com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer$StringFactoryKeyDeserializer
6,4,1,com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$ByteDeser
0,5,2,com.google.common.collect.AbstractMultimap$ValueIterator
6,4,0,com.liato.bankdroid.AboutActivity
3,3,0,org.simpleframework.xml.stream.HyphenBuilder
0,4,3,com.google.common.collect.Lists$TransformingSequentialList
10,6,0,com.google.common.collect.ForwardingIterator
2,4,2,com.google.common.collect.Maps$ImprovedAbstractMap$2
6,5,2,com.google.common.collect.Maps$ImprovedAbstractMap$1
3,3,0,com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer$ShortKD
0,2,0,org.jsoup.select.NodeVisitor
0,4,2,com.google.common.collect.Multimaps$MapMultimap$1$1
3,3,0,org.jsoup.select.Evaluator$IsOnlyChild
0,1,2,com.fasterxml.jackson.databind.deser.std.NumberDeserializers$1
6,4,1,org.simpleframework.xml.stream.HyphenBuilder$Parser
10,5,0,org.simpleframework.xml.transform.BigIntegerTransform
0,2,0,org.simpleframework.xml.Order
0,2,0,com.fasterxml.jackson.databind.ser.FilterProvider
1,3,1,com.liato.bankdroid.banking.banks.coop.model.RefundSummaryResponse
0,1,1,com.liato.bankdroid.banking.banks.sebkort.model.response.UserResponse
10,5,0,com.fasterxml.jackson.databind.ser.std.NumberSerializers$IntegerSerializer
0,1,3,com.fasterxml.jackson.databind.ser.impl.WritableObjectId
10,5,0,com.google.common.base.Suppliers
1,3,1,org.simpleframework.xml.transform.DateFactory
0,1,4,com.fasterxml.jackson.databind.introspect.AnnotatedMethod$Serialization
0,2,1,com.google.common.collect.MapMaker$LinkedStrongEntry
0,5,2,com.google.common.collect.LinkedListMultimap$AsMapEntries$1
9,7,2,org.simpleframework.xml.convert.AnnotationStrategy
13,6,2,com.google.common.base.Predicates$AlwaysTruePredicate
10,5,1,com.fasterxml.jackson.databind.deser.std.NumberDeserializers$BooleanDeserializer
5,6,3,com.google.common.collect.LinkedListMultimap$NodeIterator
0,2,2,com.google.common.base.Suppliers$SupplierOfInstance
0,1,0,com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder$WithMember
0,4,3,com.google.common.collect.StandardBiMap$KeySet$1
3,3,0,org.jsoup.select.Evaluator$IsOnlyOfType
0,1,1,com.liato.bankdroid.banking.banks.rikslunchen.model.Envelope$Body$GetBalanceResponse
8,5,3,com.liato.bankdroid.lockpattern.ChooseLockPatternTutorial
2,4,2,com.fasterxml.jackson.databind.util.LinkedNode
5,7,3,com.google.common.collect.Multimaps$CustomSortedSetMultimap
0,1,0,com.fasterxml.jackson.databind.annotation.JsonTypeResolver
0,2,2,com.fasterxml.jackson.databind.deser.impl.PropertyValue$Any
3,3,0,com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer$LongKD
6,4,1,com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$LongDeser
0,1,3,com.fasterxml.jackson.databind.introspect.AnnotatedConstructor$Serialization
0,2,0,com.fasterxml.jackson.databind.util.Annotations
10,5,0,org.simpleframework.xml.transform.LongTransform
0,1,0,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonFormatVisitable
1,7,1,com.google.common.collect.Multimaps$MapMultimap$AsMap
0,1,1,com.google.common.collect.StandardMultimap$RandomAccessWrappedList
3,3,0,org.jsoup.select.Evaluator$IndexEquals
0,5,2,com.google.common.collect.LinkedListMultimap$4$1
0,5,2,com.google.common.base.Functions$ConstantFunction
0,2,4,com.fasterxml.jackson.databind.deser.impl.NullProvider
0,4,1,com.fasterxml.jackson.databind.deser.impl.UnwrappedPropertyHandler
10,5,0,com.liato.bankdroid.appwidget.BankdroidWidgetProvider$WidgetService
3,3,0,com.fasterxml.jackson.databind.ext.DOMDeserializer$NodeDeserializer
3,3,0,org.simpleframework.xml.stream.StreamReader$End
0,7,1,com.google.common.collect.StandardMultimap$Entries
6,4,1,com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$BooleanDeser
1,4,1,com.fasterxml.jackson.databind.ext.DOMDeserializer
10,6,0,com.google.common.collect.ForwardingSet
6,6,0,com.fasterxml.jackson.databind.ser.impl.PropertySerializerMap
0,2,0,org.simpleframework.xml.convert.Converter
3,3,4,com.liato.bankdroid.banking.banks.Chalmrest
0,6,1,com.google.common.collect.CustomConcurrentHashMap$Impl$Values
0,0,0,com.fasterxml.jackson.annotation.JacksonAnnotationsInside
0,2,2,com.google.common.collect.ImmutableSortedMap$Values$1
1,3,2,org.jsoup.parser.Token$Comment
0,5,4,com.google.common.collect.LinkedListMultimap$DistinctKeyIterator
0,4,3,com.google.common.collect.CustomConcurrentHashMap$Impl$WriteThroughEntry
1,3,3,com.google.common.collect.ImmutableMap$SerializedForm
0,8,0,com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder
0,3,2,com.google.common.collect.StandardMultimap$MultisetEntry
10,5,0,org.simpleframework.xml.transform.TimeZoneTransform
0,9,1,com.fasterxml.jackson.databind.introspect.AnnotationMap
0,6,0,com.fasterxml.jackson.databind.ser.Serializers
3,3,0,com.fasterxml.jackson.databind.deser.std.NumberDeserializers$CharacterDeserializer
1,2,0,com.fasterxml.jackson.databind.deser.std.DateDeserializers
13,6,2,com.google.common.base.Functions$IdentityFunction
0,0,0,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonIntegerFormatVisitor
3,3,0,com.fasterxml.jackson.databind.ext.DOMDeserializer$DocumentDeserializer
3,3,0,org.jsoup.examples.HtmlToPlainText
0,4,1,com.liato.bankdroid.banking.banks.coop.model.web.WebTransactionHistoryResponse
0,3,1,org.jsoup.select.Evaluator$Matches
1,2,0,com.fasterxml.jackson.databind.deser.ValueInstantiators$Base
0,2,0,com.google.common.base.Function
0,1,0,org.simpleframework.xml.NamespaceList
