lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name,is_code_smell
1230,53,14,org.mariotaku.twidere.provider.TwidereDataProvider,true
148,21,10,org.mariotaku.twidere.fragment.support.DraftsFragment,true
1224,52,47,org.mariotaku.twidere.api.twitter.model.impl.UserImpl,true
475,39,19,org.mariotaku.twidere.fragment.support.StatusFragment,true
50,17,20,org.mariotaku.twidere.view.holder.StatusViewHolder,true
1183,54,40,org.mariotaku.twidere.fragment.support.MessagesConversationFragment,true
883,47,15,org.mariotaku.twidere.view.TabPagerIndicator,true
252,29,13,org.mariotaku.twidere.view.LinePageIndicator,true
65,15,17,org.mariotaku.twidere.model.CustomTabConfiguration,true
2038,73,42,org.mariotaku.twidere.activity.support.ComposeActivity,true
168,29,13,org.mariotaku.twidere.graphic.TextDrawable,true
1621,59,28,org.ligi.passandroid.model.PassImpl,true
424,37,23,org.ligi.passandroid.ui.edit_fragments.BarCodeIntentIntegrator,true
127,18,9,org.ligi.passandroid.ui.PassListActivity,true
628,40,79,jackpal.androidterm.util.TermSettings,true
92,16,10,jackpal.androidterm.GenericTermSession,true
665,42,27,jackpal.androidterm.emulatorview.TermSession,true
1872,68,37,jackpal.androidterm.Term,true
172,25,23,jackpal.androidterm.emulatorview.TermKeyListener,true
3050,85,75,jackpal.androidterm.emulatorview.TerminalEmulator,true
153,18,9,jackpal.androidterm.compat.ActionBarCompat,true
308,29,21,jackpal.androidterm.shortcuts.FSNavigator,true
175,31,13,jackpal.androidterm.emulatorview.UnicodeTranscript,true
196,24,14,jackpal.androidterm.TermViewFlipper,true
2794,88,57,jackpal.androidterm.emulatorview.EmulatorView,true
29,15,11,jackpal.androidterm.shortcuts.AddShortcut,true
358,32,17,org.wordpress.android.ui.posts.PostsActivity,true
506,36,32,org.wordpress.android.ui.WPActionBarActivity,true
602,40,22,org.wordpress.android.ui.reader.adapters.ReaderPostAdapter,true
196,25,10,org.wordpress.android.ui.accounts.NewBlogFragment,true
319,30,13,org.wordpress.android.models.Theme,true
359,30,15,org.wordpress.android.ui.stats.StatsCursorTreeFragment,true
2306,72,27,org.wordpress.android.models.Blog,true
1001,54,39,org.wordpress.android.ui.media.MediaGridFragment,true
108,17,11,org.wordpress.android.ui.ShareIntentReceiverActivity,true
110,17,9,org.wordpress.android.ui.themes.ThemeTabFragment,true
778,41,26,org.wordpress.android.models.Note,true
129,18,14,org.wordpress.android.ui.media.MediaItemFragment,true
102,16,10,org.wordpress.android.ui.themes.ThemePreviewFragment,true
54,17,20,org.wordpress.android.ui.media.MediaGallerySettingsFragment,true
287,30,15,org.wordpress.android.models.Comment,true
139,19,10,org.wordpress.android.ui.stats.StatsCursorFragment,true
238,25,14,org.wordpress.android.ui.media.MediaEditFragment,true
111,19,14,org.wordpress.android.ui.reader.ReaderTagActivity,true
630,37,19,org.wordpress.android.models.StatsSummary,true
301,27,25,org.wordpress.android.datasets.ReaderPostTable$PostColumnIndexes,true
63,15,12,org.wordpress.android.models.ReaderComment,true
361,30,13,org.wordpress.android.ui.themes.ThemeBrowserActivity,true
351,31,20,org.wordpress.android.ui.stats.StatsActivity,true
295,30,22,org.wordpress.android.ui.posts.EditPostActivity,true
238,24,10,org.wordpress.android.ui.notifications.FollowRow,true
342,32,23,org.wordpress.android.ui.posts.EditPostSettingsFragment,true
1834,64,18,org.wordpress.android.ui.reader.ReaderPostListFragment,true
387,30,11,org.wordpress.android.util.HtmlToSpannedConverter,true
244,25,12,org.wordpress.android.ui.media.MediaGridAdapter,true
925,47,29,org.wordpress.android.models.ReaderPost,true
185,26,46,org.wordpress.android.util.WPMobileStatsUtil,true
1378,57,23,org.wordpress.android.ui.comments.CommentDetailFragment,true
878,48,22,org.wordpress.android.models.MediaFile,true
189,26,11,org.wordpress.android.ui.accounts.NewUserPageFragment,true
429,35,22,org.wordpress.android.ui.accounts.WelcomeFragmentSignIn,true
81,15,10,org.wordpress.android.ui.reader.ReaderUserListActivity,true
1005,50,34,org.wordpress.android.widgets.photoview.PhotoViewAttacher,true
2764,77,36,org.wordpress.android.models.Post,true
173,23,13,org.wordpress.android.ui.posts.SelectCategoriesActivity,true
454,36,12,org.wordpress.android.ui.posts.PostsListFragment,true
130,21,12,org.wordpress.android.ui.accounts.SetupBlog,true
1304,57,36,org.wordpress.android.ui.posts.EditPostContentFragment,true
39,19,18,org.wordpress.android.ui.reader.adapters.ReaderCommentAdapter,true
234,25,17,org.wordpress.android.ui.media.MediaGalleryPickerActivity,true
344,28,14,org.wordpress.android.ui.prefs.PreferencesActivity,true
695,47,14,org.wordpress.android.ui.media.MediaBrowserActivity,true
1387,55,16,org.wordpress.android.ui.comments.CommentsListFragment,true
5949,114,37,org.wordpress.android.ui.reader.ReaderPostDetailFragment,true
324,29,27,org.wordpress.android.WordPress,true
189,22,17,org.wordpress.android.ui.themes.ThemeDetailsFragment,true
112,24,15,org.wordpress.android.ui.comments.CommentAdapter,true
515,35,11,org.wordpress.android.ui.notifications.NotificationsActivity,true
110,17,14,org.wordpress.android.ui.reader.ReaderReblogActivity,true
281,30,13,org.wordpress.android.util.LinePageIndicator,true
78,16,15,org.telegram.messenger.ApplicationLoader,true
114,20,17,org.telegram.messenger.HandshakeAction,true
165,31,27,org.telegram.messenger.Datacenter,true
1771,63,23,org.telegram.messenger.FileLoader,true
5772,113,44,org.telegram.messenger.ConnectionsManager,true
319,30,25,org.telegram.messenger.FileUploadOperation,true
396,29,10,org.telegram.messenger.Utilities,true
604,41,21,org.telegram.messenger.TcpConnection,true
116,25,28,org.telegram.messenger.FileLoadOperation,true
359,31,18,com.nexes.manager.EventHandler,true
93,19,11,com.nexes.manager.Settings,true
28,17,39,com.nexes.manager.Main,true
195,23,11,com.nexes.manager.FileManager,true
45,15,17,org.opengpx.lib.map.OsmMapViewerActivity,true
598,44,12,org.opengpx.CacheDetailActivity,true
688,41,10,org.opengpx.AdvancedSearchActivity,true
119,19,24,org.opengpx.lib.geocache.Cache,true
91,18,14,org.opengpx.GoogleMapViewerActivity,true
526,40,11,org.opengpx.SearchListActivity,true
2290,77,28,org.opengpx.lib.CacheDatabase,true
660,45,11,org.opengpx.CacheListActivity,true
126,45,9,org.brandroid.openmanager.data.OpenSMB,true
3267,82,10,org.brandroid.openmanager.data.OpenPath,true
636,45,15,org.brandroid.openmanager.data.OpenFTP,true
411,35,18,org.brandroid.openmanager.util.RootManager,true
1324,68,10,org.brandroid.openmanager.data.OpenFile,true
165,23,9,org.brandroid.openmanager.views.SeekBarActionView,true
13128,169,77,org.brandroid.openmanager.activities.OpenExplorer,true
332,33,9,org.brandroid.openmanager.data.FTPManager,true
503,38,24,org.brandroid.openmanager.util.EventHandler$BackgroundWork,true
286,28,9,org.brandroid.openmanager.fragments.LogViewerFragment,true
364,44,15,org.brandroid.openmanager.data.OpenSFTP,true
70,16,11,org.brandroid.openmanager.fragments.PickerFragment,true
1184,60,18,org.brandroid.openmanager.fragments.TextEditorFragment,true
578,40,12,org.brandroid.openmanager.data.OpenSearch,true
3001,90,23,org.brandroid.openmanager.fragments.ContentFragment,true
1003,47,20,org.brandroid.openmanager.util.EventHandler,true
108,17,18,org.brandroid.openmanager.util.ShellSession,true
1262,57,18,org.brandroid.openmanager.adapters.OpenBookmarks,true
483,38,19,org.brandroid.openmanager.adapters.ContentAdapter,true
860,49,23,org.brandroid.openmanager.util.BetterPopupWindow,true
277,27,11,org.brandroid.openmanager.data.BookmarkHolder,true
359,31,10,org.brandroid.openmanager.data.OpenMediaStore,true
159,19,11,org.brandroid.openmanager.activities.OpenApplication,true
846,44,9,org.brandroid.openmanager.data.OpenFileRoot,true
615,39,18,org.brandroid.openmanager.adapters.IconContextMenu,true
47,18,14,org.brandroid.openmanager.adapters.OpenPathDbAdapter,true
670,40,15,org.brandroid.openmanager.data.OpenCursor,true
413,31,13,org.brandroid.openmanager.data.OpenSCP,true
368,33,28,org.adblockplus.android.ProxyService,true
317,30,11,org.adblockplus.android.AdblockPlus,true
150,20,10,aarddict.android.LookupActivity,true
1837,71,29,aarddict.android.ArticleViewActivity,true
116,25,17,aarddict.android.DictionaryService,true
96,16,16,com.watabou.pixeldungeon.scenes.PixelScene,true
107,26,10,com.watabou.pixeldungeon.actors.Actor,true
582,37,25,com.watabou.pixeldungeon.actors.mobs.Mob,true
470,37,23,com.watabou.pixeldungeon.actors.Char,true
763,43,25,com.watabou.pixeldungeon.items.wands.Wand,true
894,48,34,com.watabou.pixeldungeon.items.Item,true
320,32,26,com.watabou.pixeldungeon.sprites.CharSprite,true
300,28,13,com.watabou.pixeldungeon.items.rings.Ring,true
1099,59,37,com.watabou.pixeldungeon.actors.hero.Hero,true
235,26,13,com.watabou.pixeldungeon.items.potions.Potion,true
103,18,12,com.watabou.pixeldungeon.levels.CityBossLevel,true
444,36,45,com.watabou.pixeldungeon.levels.Level,true
132,25,12,com.watabou.pixeldungeon.items.armor.Armor,true
255,43,29,com.watabou.pixeldungeon.scenes.GameScene,true
218,28,14,com.watabou.pixeldungeon.ui.QuickSlot,true
108,17,10,com.watabou.pixeldungeon.levels.CavesBossLevel,true
44,16,14,com.watabou.pixeldungeon.items.DewVial,true
201,22,19,com.watabou.pixeldungeon.scenes.InterlevelScene,true
112,16,11,com.watabou.pixeldungeon.actors.hero.HeroClass,true
258,32,39,com.watabou.pixeldungeon.Dungeon,true
116,17,10,com.watabou.pixeldungeon.levels.HallsBossLevel,true
205,26,26,com.eolwral.osmonitor.OSMonitorService,true
1165,54,24,com.eolwral.osmonitor.ui.MessageFragment,true
1299,55,29,com.eolwral.osmonitor.ui.ProcessFragment,true
196,24,14,com.eolwral.osmonitor.ui.MiscFragment,true
343,30,12,com.eolwral.osmonitor.ui.ConnectionFragment,true
54,17,58,org.adw.launcher.DragLayer,true
3965,102,64,org.adw.launcher.AllAppsSlidingView,true
62,20,13,org.adw.launcher.DesktopIndicator,true
4386,105,63,org.adw.launcher.Workspace,true
218,24,31,org.adw.launcher.HolderLayout,true
80,20,22,org.adw.launcher.DeleteZone,true
258,29,21,org.adw.launcher.MiniLauncher,true
93,23,27,org.adw.launcher.CustomScroller,true
110,21,31,org.adw.launcher.ResizeViewHandler,true
154,20,14,org.adw.launcher.Search,true
2580,77,24,org.adw.launcher.LauncherModel,true
301,30,18,org.adw.launcher.ActionButton,true
350,32,21,org.adw.launcher.NumberPicker,true
168,21,11,org.adw.launcher.ApplicationsAdapter,true
11939,179,152,org.adw.launcher.Launcher,true
906,49,25,org.adw.launcher.CellLayout,true
161,22,32,org.adw.launcher.AllAppsGridView,true
95,15,15,org.adw.launcher.MyLauncherSettings,true
5747,122,36,net.sourceforge.opencamera.MyApplicationInterface,true
4486,108,38,net.sourceforge.opencamera.MainActivity,true
6238,133,42,net.sourceforge.opencamera.CameraController.CameraController2,true
1826,64,24,net.sourceforge.opencamera.CameraController.CameraController2$CameraSettings,true
18994,221,125,net.sourceforge.opencamera.Preview.Preview,true
152,25,10,org.hystudio.android.dosbox.GLSurfaceView_SDL,true
43,15,13,org.hystudio.android.dosbox.GLSurfaceView_SDL$GLThread,true
98,16,10,org.hystudio.android.dosbox.DemoRenderer,true
1560,60,19,com.google.android.stardroid.source.proto.SourceProto$AstronomicalSourceProto,true
112,36,38,com.google.android.stardroid.activities.DynamicStarMapActivity,true
184,25,19,com.google.android.stardroid.control.AstronomerModelImpl,true
164,29,13,com.google.android.stardroid.renderer.SkyRenderer,true
141,23,10,com.google.android.stardroid.control.ControllerGroup,true
888,44,14,com.google.android.stardroid.source.proto.SourceProto$PointElementProto,true
107,19,16,com.google.android.stardroid.provider.ephemeris.Planet,true
704,40,10,com.google.android.stardroid.source.proto.SourceProto$LineElementProto,true
228,25,14,com.google.android.stardroid.renderer.RenderState,true
1054,48,17,com.google.android.stardroid.source.proto.SourceProto$LabelElementProto,true
80,17,10,org.tint.model.HistoryAdapter,true
133,26,14,org.tint.ui.activities.TintBrowserActivity,true
