lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name,is_code_smell
0,2,1,com.eleybourn.bookcatalogue.booklist.BooklistStylesActivity$1,false
3,3,1,com.eleybourn.bookcatalogue.properties.PropertyGroup$PropertyGroups,false
0,2,1,com.actionbarsherlock.widget.ActivityChooserView$3,false
0,2,1,com.actionbarsherlock.widget.ActivityChooserView$2,false
0,3,1,com.actionbarsherlock.widget.ActivityChooserView$1,false
0,6,3,com.eleybourn.bookcatalogue.BooksCursor,false
0,1,0,com.eleybourn.bookcatalogue.filechooser.FileChooserFragment$PathChangedListener,false
0,3,1,com.eleybourn.bookcatalogue.TaskManager$1,false
0,2,1,com.eleybourn.bookcatalogue.TaskManager$2,false
0,4,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$AuthorOneViewManager,false
0,2,1,com.eleybourn.bookcatalogue.utils.AlertDialogUtils$1,false
7,7,4,com.eleybourn.bookcatalogue.database.DbUtils$IndexDefinition,false
0,2,1,com.eleybourn.bookcatalogue.OtherPreferences$1,false
0,6,4,com.eleybourn.bookcatalogue.backup.tar.TarBackupReader,false
0,5,1,com.actionbarsherlock.internal.nineoldandroids.animation.Keyframe$ObjectKeyframe,false
0,1,0,com.actionbarsherlock.widget.ActivityChooserModel$ActivityChooserModelClient,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.SearchBooksApiHandler$14,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.SearchBooksApiHandler$13,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.SearchBooksApiHandler$12,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.SearchBooksApiHandler$11,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.SearchBooksApiHandler$10,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.GoodreadsSearchCriteria$1,false
0,1,2,com.eleybourn.bookcatalogue.goodreads.GoodreadsApiKeys,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.SearchBooksApiHandler$15,false
1,3,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$6,false
0,2,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$7,false
0,2,3,com.eleybourn.bookcatalogue.BooksOnBookshelf$4,false
1,3,4,com.eleybourn.bookcatalogue.BooksOnBookshelf$5,false
0,2,1,com.eleybourn.bookcatalogue.BcQueueManager$BcLegacyEvent$1,false
0,2,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$8,false
0,2,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$9,false
0,3,4,com.eleybourn.bookcatalogue.BooksOnBookshelf$GetListTask,false
0,2,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$2,false
0,2,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$3,false
1,2,1,oauth.signpost.commonshttp.CommonsHttpOAuthConsumer,false
0,3,0,com.eleybourn.bookcatalogue.backup.Exporter$ExportListener,false
0,3,1,com.eleybourn.bookcatalogue.BooksOnBookshelf$1,false
0,2,1,com.eleybourn.bookcatalogue.Fields$Field$2,false
4,4,1,com.eleybourn.bookcatalogue.Fields$Field$1,false
0,2,1,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$12,false
0,2,2,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$13,false
2,5,4,com.eleybourn.bookcatalogue.EditFormatDialog,false
0,2,2,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$10,false
0,2,2,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$11,false
2,8,3,com.actionbarsherlock.internal.view.menu.MenuPopupHelper$MenuAdapter,false
1,3,1,com.eleybourn.bookcatalogue.BookEdit$DoConfirmAction,false
0,4,1,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$SimpleDialogFileItem,false
1,2,1,com.eleybourn.bookcatalogue.booklist.BooklistStyleGroupsActivity$1,false
0,2,0,net.philipwarner.taskqueue.BindableItemCursorAdapter$BindableItemBinder,false
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$6,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$7,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$4,false
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$5,false
0,2,1,com.eleybourn.bookcatalogue.utils.Base64$1,false
3,6,1,com.actionbarsherlock.internal.widget.ScrollingTabContainerView$TabAdapter,false
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$8,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$9,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$2,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$3,false
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShowBookApiHandler$1,false
0,2,0,com.eleybourn.bookcatalogue.utils.SimpleTaskQueueProgressFragment$FragmentTask,false
0,2,2,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$5,false
0,2,3,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$2,false
0,2,3,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$1,false
0,2,3,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$4,false
0,2,2,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$3,false
0,9,2,com.eleybourn.bookcatalogue.database.SqlStatementManager,false
0,1,0,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue$OnTaskFinishListener,false
13,7,1,com.actionbarsherlock.view.ActionProvider,false
0,1,1,com.amazon.device.associates.d$1,false
0,2,1,com.eleybourn.bookcatalogue.booklist.BooklistStylePropertiesActivity$1,false
0,2,1,com.eleybourn.bookcatalogue.booklist.BooklistStylePropertiesActivity$2,false
1,2,0,org.acra.util.ToastSender,false
10,5,0,com.actionbarsherlock.internal.widget.IcsAbsSpinner$SavedState$1,false
9,6,3,com.actionbarsherlock.internal.widget.IcsAbsSpinner$SavedState,false
0,1,0,com.amazon.device.associates.OpenHomePageRequest,false
0,4,0,com.eleybourn.bookcatalogue.MultitypeListHandler$MultitypeHolder,false
0,4,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$PublishedViewManager,false
0,1,0,com.actionbarsherlock.app.ActionBar$OnMenuVisibilityListener,false
0,2,1,com.eleybourn.bookcatalogue.BookEdit$4,false
0,2,2,com.eleybourn.bookcatalogue.properties.ListProperty$3,false
0,1,0,com.amazon.device.associates.NoListenerException,false
0,2,1,com.eleybourn.bookcatalogue.BookEdit$3,false
0,2,4,com.eleybourn.bookcatalogue.properties.ListProperty$2,false
0,2,1,com.eleybourn.bookcatalogue.BookEdit$2,false
0,2,1,com.eleybourn.bookcatalogue.BookEdit$1,false
0,2,2,com.eleybourn.bookcatalogue.BookEdit$6,false
0,2,2,com.eleybourn.bookcatalogue.properties.ListProperty$1,false
1,3,2,org.acra.collector.DropBoxCollector,false
0,2,2,com.eleybourn.bookcatalogue.BookEdit$5,false
0,1,0,com.eleybourn.bookcatalogue.BookCatalogueApp$OnLocaleChangedListener,false
1,2,0,com.eleybourn.bookcatalogue.goodreads.api.IsbnToId,false
6,4,0,com.eleybourn.bookcatalogue.AdministrationLibraryThing,false
6,4,2,com.eleybourn.bookcatalogue.amazon.AmazonUtils,false
1,2,1,com.eleybourn.bookcatalogue.filechooser.BackupLister$1,false
0,1,0,com.eleybourn.bookcatalogue.goodreads.api.XmlFilter$XmlHandler,false
0,4,1,com.eleybourn.bookcatalogue.utils.Utils$StatefulBufferedInputStream,false
1,2,0,org.acra.collector.ThreadCollector,false
0,7,2,com.actionbarsherlock.app.ActionBar$LayoutParams,false
8,5,1,com.eleybourn.bookcatalogue.compat.BookCatalogueActivity,false
0,3,0,com.eleybourn.bookcatalogue.backup.BackupReader$BackupReaderListener,false
0,2,1,com.eleybourn.bookcatalogue.AdministrationDonate$1,false
0,2,1,com.eleybourn.bookcatalogue.AdministrationDonate$2,false
7,6,4,com.eleybourn.bookcatalogue.ThumbnailCacheWriterTask,false
1,2,0,com.eleybourn.bookcatalogue.AmazonManager,false
3,6,3,com.actionbarsherlock.internal.nineoldandroids.animation.AnimatorSet$DependencyListener,false
1,2,0,org.acra.collector.LogFileCollector,false
0,3,1,com.eleybourn.bookcatalogue.dialogs.PartialDatePickerFragment$1,false
1,2,0,com.eleybourn.bookcatalogue.BookEvents$1,false
0,1,3,com.eleybourn.bookcatalogue.booklist.BooklistBuilder$BookRowInfo,false
0,2,2,com.eleybourn.bookcatalogue.BookEditFields$4$1,false
0,2,0,com.amazon.device.associates.LinkService,false
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.SimpleXmlFilter$BooleanAttrFilter,false
0,2,1,com.actionbarsherlock.internal.app.ActionBarImpl$2,false
0,2,1,com.actionbarsherlock.internal.app.ActionBarImpl$1,false
0,5,1,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$SimpleDialogObjectItem,false
11,7,3,com.eleybourn.bookcatalogue.BindableItemListActivity,false
0,1,0,com.eleybourn.bookcatalogue.properties.Property$StringValue,false
8,5,2,com.actionbarsherlock.internal.view.menu.ActionMenuPresenter$SavedState,false
0,6,3,com.amazon.device.associates.p$a,false
0,3,0,com.actionbarsherlock.app.ActionBar$TabListener,false
3,3,0,com.eleybourn.bookcatalogue.SearchGoodreadsThread,false
2,5,4,com.eleybourn.bookcatalogue.EditSeriesDialog,false
0,2,0,com.eleybourn.bookcatalogue.Fields$FieldsContext,false
1,3,2,com.amazon.device.associates.p$2,false
0,1,0,com.amazon.device.associates.ShoppingServiceRequest,false
0,4,4,com.eleybourn.bookcatalogue.backup.Backuptest$2,false
1,2,2,com.eleybourn.bookcatalogue.backup.BackupUtils$ItemInfo,false
0,4,0,com.actionbarsherlock.view.ActionMode$Callback,false
1,3,1,com.amazon.device.associates.p$1,false
4,4,1,com.eleybourn.bookcatalogue.database.DbSync$Synchronizer$SharedLock,false
1,2,0,com.eleybourn.bookcatalogue.compat.BookCatalogueFragment,false
6,5,2,com.eleybourn.bookcatalogue.dialogs.TextFieldEditorFragment,false
0,2,3,com.eleybourn.bookcatalogue.utils.SimpleTaskQueueProgressFragment$TaskFinishedMessage,false
10,8,4,com.amazon.device.associates.ServiceStatusResponse,false
0,2,1,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$9,false
0,2,4,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$6,false
0,2,1,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$5,false
0,2,4,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$8,false
0,3,2,com.eleybourn.bookcatalogue.Fields$FragmentContext,false
1,3,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$1,false
0,2,1,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$7,false
1,2,0,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$2,false
0,2,2,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$1,false
0,2,3,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$4,false
0,1,2,com.eleybourn.bookcatalogue.goodreads.GoodreadsManager$Exceptions$GeneralException,false
0,2,2,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$3,false
1,3,1,com.actionbarsherlock.internal.widget.IcsListPopupWindow$ResizePopupRunnable,false
0,4,1,com.eleybourn.bookcatalogue.ImportThread$1,false
0,9,0,oauth.signpost.http.HttpRequest,false
0,1,0,com.eleybourn.bookcatalogue.widgets.SimpleListAdapter$ViewProvider,false
1,2,0,com.eleybourn.bookcatalogue.datamanager.NonBlankValidator,false
0,2,0,com.eleybourn.bookcatalogue.goodreads.api.SimpleXmlFilter$DataStoreProvider,false
0,3,0,com.eleybourn.bookcatalogue.utils.Utils$ItemWithIdFixup,false
0,2,1,com.eleybourn.bookcatalogue.BookEditLoaned$1,false
0,2,1,com.eleybourn.bookcatalogue.BookEditLoaned$2,false
0,7,2,com.eleybourn.bookcatalogue.properties.Properties,false
1,2,0,com.eleybourn.bookcatalogue.LibraryThingApiKey,false
0,1,0,com.eleybourn.bookcatalogue.utils.HintManager$HintOwner,false
0,1,2,com.eleybourn.bookcatalogue.properties.ListProperty$Holder,false
6,4,0,com.eleybourn.bookcatalogue.utils.Terminator$TerminatorTask,false
0,1,1,com.eleybourn.bookcatalogue.goodreads.GoodreadsManager$Exceptions$NotAuthorizedException,false
1,2,0,com.eleybourn.bookcatalogue.database.CoversDbHelper$1,false
0,2,2,com.eleybourn.bookcatalogue.BookCatalogueClassic$6,false
0,2,2,com.eleybourn.bookcatalogue.BookCatalogueClassic$7,false
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.SimpleXmlFilter$LongAttrFilter,false
0,4,3,com.eleybourn.bookcatalogue.messaging.MessageSwitch$MessageSenderImpl,false
0,2,2,com.eleybourn.bookcatalogue.BookCatalogueClassic$8,false
0,2,2,com.eleybourn.bookcatalogue.BookCatalogueClassic$9,false
0,2,1,com.eleybourn.bookcatalogue.cropper.CropUtil$BackgroundJob$1,false
0,2,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$2,false
0,2,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$3,false
0,2,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$4,false
0,2,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$5,false
0,1,0,com.actionbarsherlock.ActionBarSherlock$OnMenuItemSelectedListener,false
0,1,0,com.eleybourn.bookcatalogue.compat.BookCatalogueDialogFragment,false
0,1,2,com.eleybourn.bookcatalogue.booklist.BooklistBuilder$SortedDomainInfo,false
0,7,1,com.amazon.device.associates.aa,false
6,4,1,oauth.signpost.basic.DefaultOAuthProvider,false
0,3,2,com.eleybourn.bookcatalogue.database.DbSync$SynchronizedCursor,false
4,8,2,com.actionbarsherlock.internal.view.menu.ActionMenuPresenter$OverflowMenuButton,false
0,1,3,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$BooklistChangeListener,false
0,1,0,com.actionbarsherlock.widget.ActivityChooserModel$ActivitySorter,false
0,3,1,com.eleybourn.bookcatalogue.dialogs.TextFieldEditorFragment$1,false
0,1,0,com.amazon.device.associates.NotInitializedException,false
3,6,3,com.eleybourn.bookcatalogue.CoverBrowser$FileManager,false
0,7,1,com.amazon.device.associates.SearchByIdRequest,false
6,5,2,com.amazon.device.associates.bu,false
4,4,1,com.amazon.device.associates.bt,false
4,4,1,com.amazon.device.associates.bw,false
10,5,0,com.amazon.device.associates.by,false
10,5,0,com.amazon.device.associates.bx,false
3,6,2,com.amazon.device.associates.bz,false
0,1,1,com.eleybourn.bookcatalogue.goodreads.GoodreadsManager$Exceptions$NetworkException,false
3,3,0,com.eleybourn.bookcatalogue.SearchGoogleThread,false
10,5,1,com.amazon.device.associates.be,false
0,3,1,com.amazon.device.associates.bd,false
1,3,2,com.amazon.device.associates.bf,false
4,4,1,com.amazon.device.associates.bi,false
8,5,1,com.amazon.device.associates.bk,false
0,1,0,com.amazon.device.associates.bj,false
10,8,4,com.amazon.device.associates.bl,false
13,6,1,com.amazon.device.associates.bo,false
0,4,0,com.amazon.device.associates.bn,false
0,2,3,com.eleybourn.bookcatalogue.utils.HintManager$1,false
0,2,1,com.eleybourn.bookcatalogue.utils.HintManager$2,false
0,1,1,com.amazon.device.associates.au$1,false
4,4,1,com.amazon.device.associates.av,false
0,2,0,com.eleybourn.bookcatalogue.dialogs.TextFieldEditorFragment$OnTextFieldEditorListener,false
0,7,0,com.amazon.device.associates.aw,false
0,1,0,com.amazon.device.associates.ay,false
3,3,0,com.eleybourn.bookcatalogue.properties.PropertyComparator,false
6,9,1,com.amazon.device.associates.ba,false
2,5,4,com.amazon.device.associates.bc,false
0,4,0,com.amazon.device.associates.bb,false
0,2,1,com.eleybourn.bookcatalogue.goodreads.api.ShelfAddBookHandler$1,false
0,4,1,com.eleybourn.bookcatalogue.BookCatalogueClassic$LoanViewManager,false
4,4,1,com.amazon.device.associates.ae,false
3,3,0,com.amazon.device.associates.ah,false
1,5,1,com.amazon.device.associates.ag,false
10,5,0,com.amazon.device.associates.ai,false
0,4,1,com.amazon.device.associates.al,false
0,2,1,com.eleybourn.bookcatalogue.UpdateThumbnailsThread$1,false
0,9,2,com.amazon.device.associates.ak,false
10,5,0,com.amazon.device.associates.an,false
0,3,1,org.acra.util.PackageManagerWrapper,false
10,5,0,com.amazon.device.associates.ao,false
6,4,0,com.amazon.device.associates.ar,false
10,5,0,com.amazon.device.associates.aq,false
1,2,0,anupam.acrylic.AboutActivity,false
0,1,0,anupam.acrylic.ColorPickerDialog$OnColorChangedListener,false
6,9,4,anupam.acrylic.EasyPaint$MyView$LinePath,false
0,2,1,anupam.acrylic.EasyPaint$2,false
0,2,1,anupam.acrylic.EasyPaint$1,false
6,4,0,anupam.acrylic.Places,false
0,2,1,anupam.acrylic.Splash$1,false
4,4,2,anupam.acrylic.EasyPaint$4,false
4,4,2,anupam.acrylic.EasyPaint$3,false
1,2,0,anupam.acrylic.Splash,false
3,3,0,anupam.acrylic.GraphicsActivity,false
0,3,2,anupam.acrylic.ColorPickerDialog,false
0,2,1,anupam.acrylic.ColorPickerDialog$1,false
0,3,2,anupam.acrylic.EasyPaint$MyView$MultiLinePathManager,false
3,3,0,androidx.appcompat.app.AlertController$c,false
0,2,1,androidx.appcompat.app.AlertController$b,false
0,2,1,androidx.appcompat.widget.ai$a,false
13,7,3,androidx.appcompat.widget.ButtonBarLayout,false
0,2,1,androidx.lifecycle.SingleGeneratedAdapterObserver,false
0,2,3,androidx.fragment.app.q$2,false
0,2,3,androidx.fragment.app.q$3,false
1,2,0,androidx.core.f.f,false
0,0,0,androidx.core.f.i,false
0,1,0,androidx.core.f.h,false
0,1,0,androidx.core.f.c,false
1,2,2,androidx.core.f.e,false
4,5,2,androidx.core.f.o,false
0,1,0,androidx.core.f.n,false
7,6,3,androidx.core.f.q,false
0,1,0,androidx.core.f.p,false
10,5,0,androidx.versionedparcelable.ParcelImpl$1,false
0,0,0,androidx.core.f.j,false
0,5,0,androidx.core.f.m,false
0,7,0,androidx.core.f.l,false
0,1,0,androidx.core.f.d$a,false
0,3,2,androidx.appcompat.widget.aj$a,false
3,3,0,androidx.core.f.s$4,false
3,3,0,androidx.core.f.s$3,false
0,2,2,androidx.fragment.app.p$1,false
3,3,0,androidx.core.f.s$2,false
0,2,1,androidx.core.f.s$1,false
0,2,1,androidx.appcompat.widget.az$2,false
13,6,3,androidx.fragment.app.p$2,false
0,2,1,androidx.appcompat.widget.az$1,false
0,2,2,androidx.fragment.app.p$4,false
1,3,1,androidx.e.a.a.a,false
0,4,3,androidx.appcompat.view.h$1,false
1,3,1,androidx.e.a.a.b,false
1,3,1,androidx.e.a.a.c,false
0,2,2,androidx.e.a.a.d,false
6,6,4,androidx.core.f.s$b,false
9,6,1,androidx.core.f.s$a,false
0,2,2,androidx.a.a.a.b$1,false
1,3,3,androidx.appcompat.app.AlertController$4,false
0,2,3,androidx.appcompat.app.AlertController$3,false
3,3,1,androidx.g.a.a.e$a,false
0,2,3,androidx.appcompat.app.AlertController$2,false
0,2,1,androidx.appcompat.app.AlertController$1,false
0,2,3,androidx.appcompat.app.AlertController$5,false
0,2,2,androidx.appcompat.view.menu.j$e,false
0,2,1,androidx.appcompat.widget.ak$d,false
0,3,2,androidx.appcompat.view.menu.j$d,false
0,2,1,androidx.appcompat.widget.ak$e,false
0,5,2,androidx.appcompat.view.menu.j$a,false
0,2,1,androidx.appcompat.widget.ak$a,false
1,3,1,androidx.appcompat.widget.SearchView$10,false
0,3,1,androidx.appcompat.widget.ak$b,false
0,0,0,androidx.versionedparcelable.c,false
0,4,1,androidx.appcompat.view.menu.j$c,false
1,3,1,androidx.appcompat.widget.ak$c,false
13,6,2,androidx.appcompat.view.menu.j$b,false
0,7,1,androidx.appcompat.widget.ag$a,false
0,4,1,androidx.appcompat.widget.ag$b,false
0,0,0,androidx.f.b.a$a,false
0,1,2,androidx.appcompat.a.a.a$a,false
0,2,1,androidx.fragment.app.o$1,false
0,2,1,androidx.fragment.app.j$2$1,false
0,4,2,androidx.core.f.w$a,false
0,0,0,androidx.g.a.a.b,false
0,1,0,androidx.appcompat.app.AlertController$a$a,false
1,2,0,androidx.g.a.a.d,false
0,0,0,androidx.core.a,false
0,8,4,androidx.appcompat.view.menu.h,false
0,8,0,androidx.appcompat.view.menu.m,false
0,4,0,androidx.appcompat.view.menu.p,false
0,1,0,androidx.appcompat.view.menu.n,false
1,2,0,androidx.a.a.a.a$2,false
1,2,0,androidx.a.a.a.a$1,false
0,3,2,androidx.appcompat.widget.x$1,false
0,1,0,androidx.core.app.f$a,false
0,2,0,androidx.appcompat.view.menu.m$a,false
0,6,3,androidx.appcompat.view.menu.c,false
0,1,0,androidx.appcompat.widget.ah$a,false
0,0,0,androidx.core.b.a.a,false
3,3,0,androidx.versionedparcelable.CustomVersionedParcelable,false
0,2,1,androidx.appcompat.view.menu.l$1,false
6,4,0,androidx.core.f.y,false
0,3,0,androidx.core.f.x,false
0,4,0,androidx.core.f.r,false
0,1,0,androidx.core.f.u,false
3,3,1,androidx.core.f.t,false
0,1,0,androidx.core.f.z,false
0,1,0,androidx.d.a.a$1,false
0,4,3,androidx.appcompat.widget.ax$2,false
0,2,2,androidx.appcompat.widget.ax$1,false
3,3,0,androidx.core.e.d,false
4,4,1,androidx.g.a.a.f,false
0,1,0,androidx.core.e.c,false
0,2,2,androidx.core.a.a.f$a$1,false
0,3,1,androidx.appcompat.view.menu.ActionMenuItemView$a,false
0,2,0,androidx.appcompat.view.menu.ActionMenuItemView$b,false
0,2,2,androidx.core.a.a.f$a$2,false
0,2,1,androidx.appcompat.app.l$3,false
0,2,1,androidx.appcompat.app.l$2,false
0,2,1,androidx.appcompat.app.l$1,false
4,5,2,androidx.core.e.b,false
0,1,0,androidx.core.e.a,false
0,2,1,androidx.appcompat.widget.ai$b,false
0,0,0,androidx.core.b.a.c,false
0,2,2,androidx.core.c.c$2$1,false
3,3,0,androidx.core.graphics.drawable.IconCompatParcelizer,false
0,2,1,androidx.fragment.app.j$a$1,false
6,4,0,androidx.appcompat.widget.k$c,false
0,1,0,androidx.appcompat.widget.k$d,false
1,2,0,androidx.appcompat.widget.k$e,false
1,2,0,androidx.appcompat.widget.k$a,false
1,2,0,androidx.appcompat.widget.k$b,false
0,1,2,androidx.lifecycle.h$1,false
0,2,1,androidx.appcompat.app.f$d$1,false
1,7,1,androidx.appcompat.b.a.d$a,false
0,3,1,androidx.appcompat.widget.ActionMenuView$d,false
0,1,0,androidx.appcompat.widget.ActionMenuView$e,false
3,3,0,androidx.appcompat.widget.ActionMenuView$b,false
0,2,0,androidx.appcompat.widget.ActionMenuView$a,false
1,3,2,androidx.appcompat.widget.z$1,false
0,1,0,androidx.activity.a,false
0,7,4,androidx.appcompat.view.f$a,false
4,5,2,androidx.appcompat.widget.SearchView$e,false
0,2,0,androidx.appcompat.widget.SearchView$d,false
0,3,2,androidx.core.a.a.d$a,false
0,5,3,androidx.f.a.b$b,false
0,2,0,androidx.appcompat.widget.SearchView$c,false
1,6,3,androidx.f.a.b$c,false
0,1,0,androidx.appcompat.widget.SearchView$b,false
0,4,3,androidx.appcompat.widget.SearchView$a,false
0,2,1,ca.cmetcalfe.locationshare.-$$Lambda$SettingsActivity$TI3543DgBa4360RnV9OVo0hrkPw,false
0,0,3,androidx.appcompat.a$b,false
1,2,0,androidx.f.a.b$c$1,false
0,2,1,androidx.fragment.app.d$1,false
10,5,0,androidx.core.a.a.a,false
0,6,1,androidx.appcompat.app.b,false
0,3,0,androidx.appcompat.app.d,false
3,3,1,ca.cmetcalfe.locationshare.-$$Lambda$SettingsActivity$X6cVZepoNGGbb7DTt7yICBC_Y2I,false
3,3,4,androidx.appcompat.app.j,false
6,4,0,androidx.core.a.a.f,false
4,5,1,androidx.core.a.a.e,false
5,7,4,androidx.appcompat.app.k,false
6,4,0,androidx.core.a.a.d,false
0,2,2,androidx.lifecycle.h$a,false
0,3,0,androidx.appcompat.view.menu.n$a,false
0,2,0,androidx.f.a.a$a,false
6,4,1,androidx.core.app.c,false
2,8,2,androidx.core.app.f,false
3,3,0,androidx.core.app.e,false
1,3,1,androidx.appcompat.view.menu.q$2,false
0,2,1,androidx.appcompat.view.menu.q$1,false
1,2,0,androidx.core.app.b,false
1,2,1,androidx.core.app.a,false
0,4,0,androidx.a.a.a.c,false
0,2,1,androidx.fragment.app.c$3,false
2,4,3,androidx.a.a.a.b,false
0,2,1,androidx.fragment.app.c$1,false
0,3,1,androidx.fragment.app.c$2,false
0,2,1,androidx.core.widget.a$b,false
0,1,0,androidx.core.f.s$c,false
0,3,1,androidx.appcompat.widget.ActionBarOverlayLayout$1,false
0,2,1,androidx.appcompat.widget.ActionBarOverlayLayout$2,false
0,2,1,androidx.appcompat.widget.ActionBarOverlayLayout$3,false
0,2,2,androidx.appcompat.widget.x$b$3,false
0,2,1,androidx.appcompat.widget.ak$1,false
0,2,1,androidx.appcompat.widget.x$b$2,false
1,3,1,androidx.appcompat.widget.ak$2,false
0,2,2,androidx.appcompat.widget.x$b$1,false
3,3,0,androidx.a.a.b.b$b,false
3,3,0,androidx.a.a.b.b$a,false
0,5,3,androidx.a.a.b.b$d,false
0,7,4,androidx.a.a.b.b$c,false
0,1,0,androidx.a.a.b.b$f,false
0,1,0,androidx.core.f.b$a,false
0,8,2,androidx.a.a.b.b$e,false
3,5,0,androidx.core.a.a.f$a,false
0,1,0,androidx.core.f.b$b,false
0,4,1,androidx.g.a.a.c$1,false
4,4,2,androidx.versionedparcelable.ParcelImpl,false
0,2,1,androidx.lifecycle.CompositeGeneratedAdaptersObserver,false
10,5,0,androidx.fragment.app.b$1,false
0,6,0,androidx.appcompat.widget.ActionBarOverlayLayout$a,false
3,3,0,androidx.appcompat.widget.ActionBarOverlayLayout$b,false
0,3,1,androidx.appcompat.app.f$6$1,false
0,2,1,androidx.appcompat.widget.SearchView$9,false
0,2,1,androidx.appcompat.widget.SearchView$8,false
0,2,1,androidx.appcompat.widget.SearchView$7,false
0,2,1,androidx.appcompat.widget.SearchView$6,false
0,2,1,androidx.appcompat.widget.SearchView$5,false
0,6,0,androidx.appcompat.app.a$c,false
0,2,1,androidx.appcompat.widget.SearchView$4,false
0,1,0,androidx.appcompat.app.a$b,false
0,2,1,androidx.appcompat.widget.SearchView$3,false
0,4,1,androidx.appcompat.app.a$a,false
4,4,1,androidx.appcompat.widget.SearchView$2,false
0,2,1,androidx.appcompat.widget.SearchView$1,false
0,6,1,androidx.g.a.a.c$b,false
0,3,3,androidx.appcompat.view.g$a,false
0,2,0,androidx.fragment.app.c$c,false
0,2,1,androidx.appcompat.widget.SearchView$SearchAutoComplete$1,false
1,2,0,androidx.core.a.b,false
4,4,2,androidx.core.a.a,false
0,1,0,androidx.fragment.app.c$b,false
0,1,0,androidx.core.c.c$a,false
0,3,1,androidx.fragment.app.j$d,false
0,3,0,androidx.fragment.app.e,false
0,0,2,androidx.fragment.app.j$f,false
0,1,1,androidx.fragment.app.j$g,false
0,2,1,androidx.fragment.app.j$a,false
0,4,1,androidx.fragment.app.j$b,false
0,2,2,androidx.fragment.app.j$c,false
0,3,1,androidx.c.a.a$b,false
9,6,1,androidx.appcompat.widget.b,false
1,3,1,androidx.c.a.a$a,false
0,1,0,androidx.fragment.app.j$h,false
0,9,2,androidx.appcompat.widget.h,false
0,6,3,androidx.fragment.app.j$i,false
1,3,2,androidx.core.c.b$2,false
0,1,0,androidx.appcompat.widget.m,false
1,3,4,androidx.core.c.b$1,false
0,0,0,androidx.annotation.Keep,false
3,3,0,androidx.core.c.b$4,false
1,3,1,androidx.core.c.b$3,false
0,9,2,androidx.appcompat.widget.t,false
1,3,1,androidx.appcompat.widget.u,false
