name,lack_of_cohesion_in_methods,number_of_methods,number_of_attributes
ch.blinkenlights.android.vanilla.MediaAdapter,211,26,19
ch.blinkenlights.android.vanilla.PlaylistActivity,62,16,16
ch.blinkenlights.android.vanilla.MediaUtils,192,21,18
ch.blinkenlights.android.vanilla.FileSystemAdapter,74,17,11
ch.blinkenlights.android.vanilla.PlaybackActivity,614,36,32
ch.blinkenlights.android.vanilla.FullPlaybackActivity,302,29,42
ch.blinkenlights.android.vanilla.LibraryActivity,455,38,40
ch.blinkenlights.android.vanilla.PlaybackService,1734,80,99
ch.blinkenlights.android.vanilla.LibraryPagerAdapter,318,33,38
com.amaze.filemanager.activities.DbViewer,175,22,15
com.amaze.filemanager.fragments.Main,586,44,85
com.amaze.filemanager.ui.Layoutelements,64,17,12
com.amaze.filemanager.adapters.ZipAdapter,87,19,12
com.amaze.filemanager.activities.MainActivity,1997,70,85
com.amaze.filemanager.adapters.Recycleradapter,65,22,28
com.amaze.filemanager.fragments.ZipViewer,69,23,43
com.amaze.filemanager.activities.TextReader,101,18,16
com.amaze.filemanager.adapters.RarAdapter,114,21,12
com.androidemu.nes.FileChooser,82,16,10
com.androidemu.nes.EmulatorActivity,2666,85,38
com.androidemu.Emulator,482,32,21
com.androidemu.nes.NetPlayService,297,30,28
com.androidemu.nes.input.VirtualKeypad,206,25,23
org.bottiger.podcast.DiscoveryFragment,68,16,17
org.bottiger.podcast.views.PlayPauseImageView,168,24,20
org.bottiger.podcast.provider.Subscription,673,43,23
org.bottiger.podcast.adapters.decoration.DragSortRecycler,112,20,20
org.bottiger.podcast.provider.FeedItem,3890,96,42
org.bottiger.podcast.views.PlayerButtonView,131,22,22
org.bottiger.podcast.DrawerActivity,191,22,34
org.bottiger.podcast.adapters.PlaylistAdapter,150,20,12
org.bottiger.podcast.SubscriptionsFragment,144,20,21
org.bottiger.podcast.service.Downloader.EpisodeDownloadManager,154,20,14
org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,2732,81,57
org.bottiger.podcast.PodcastBaseFragment,155,19,11
org.bottiger.podcast.adapters.DiscoverySearchAdapter,62,16,9
org.bottiger.podcast.service.PodcastService,135,18,21
org.bottiger.podcast.FeedActivity,237,26,31
org.bottiger.podcast.ViewServer,219,26,21
org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller,1915,67,52
org.bottiger.podcast.views.SlidingTab.SlidingTabLayout,66,17,9
org.bottiger.podcast.service.PlayerService,225,35,29
org.bottiger.podcast.Player.SoundWavesPlayer,214,29,22
org.bottiger.podcast.views.TopPlayer,217,31,40
org.bottiger.podcast.utils.UIUtils,296,25,20
org.bottiger.podcast.utils.FragmentUtils,63,15,9
org.bottiger.podcast.playlist.Playlist,557,43,19
org.bottiger.podcast.PlaylistFragment,174,24,26
org.bottiger.podcast.views.PlayerSeekbar,206,32,21
org.bottiger.podcast.views.dialogs.DialogPlaylistContent,200,24,14
org.bottiger.podcast.views.FeedViewQueueButton,197,26,30
org.mariotaku.twidere.fragment.support.AbsContentRecyclerViewFragment,507,38,12
org.mariotaku.twidere.adapter.ArrayAdapter,104,33,9
org.mariotaku.twidere.view.TabPagerIndicator$TabPagerIndicatorAdapter,71,15,9
org.mariotaku.twidere.activity.support.CustomTabEditorActivity,57,15,18
org.mariotaku.twidere.adapter.AbsUsersAdapter,168,20,12
org.mariotaku.twidere.api.twitter.model.impl.StatusImpl,507,35,26
org.mariotaku.twidere.activity.support.SignInActivity,261,27,24
org.mariotaku.twidere.view.ShapedImageView,497,34,23
org.mariotaku.twidere.fragment.support.UserListFragment,222,25,11
org.mariotaku.twidere.fragment.support.UserFragment,2020,69,74
org.mariotaku.twidere.adapter.AbsStatusesAdapter,538,36,22
org.mariotaku.twidere.model.ParcelableAccount,180,20,9
org.mariotaku.twidere.fragment.support.AccountsDashboardFragment,698,40,22
org.mariotaku.twidere.fragment.support.AbsStatusesFragment,533,34,9
org.mariotaku.twidere.adapter.BaseArrayAdapter,87,15,9
org.mariotaku.twidere.adapter.MessageEntriesAdapter,318,28,20
org.mariotaku.twidere.activity.support.HomeActivity,1354,61,24
org.mariotaku.twidere.preference.SeekBarDialogPreference,177,23,11
org.mariotaku.twidere.api.twitter.model.impl.UserListImpl,92,16,12
org.mariotaku.twidere.model.ParcelableUser,52,17,31
org.mariotaku.twidere.service.BackgroundOperationService,165,23,11
org.mariotaku.twidere.adapter.MessageConversationAdapter,90,17,15
org.mariotaku.twidere.activity.support.UserListSelectorActivity,113,18,10
org.mariotaku.twidere.util.TwidereLinkify,136,20,27
org.mariotaku.twidere.fragment.support.StatusFragment$StatusAdapter,1533,59,34
org.mariotaku.twidere.adapter.AbsUserListsAdapter,186,21,13
org.mariotaku.twidere.adapter.AbsActivitiesAdapter,620,37,25
org.mariotaku.twidere.model.ParcelableMedia,63,18,15
org.mariotaku.twidere.app.TwidereApplication,453,31,23
org.mariotaku.twidere.util.AsyncTwitterWrapper,945,75,14
org.mariotaku.twidere.util.MediaPreviewUtils,245,23,78
org.mariotaku.twidere.service.StreamingService,69,15,9
org.mariotaku.twidere.activity.SettingsActivity$HeaderAdapter,130,20,9
org.mariotaku.twidere.preference.ThemeBackgroundPreference,103,18,10
org.mariotaku.twidere.util.Utils,33640,260,9
org.mariotaku.twidere.activity.support.MediaViewerActivity$VideoPageFragment,331,30,17
org.mariotaku.twidere.view.TintedStatusFrameLayout,71,15,11
org.mariotaku.twidere.view.HeaderDrawerLayout,1122,52,13
org.mariotaku.twidere.activity.support.LinkHandlerActivity,466,33,9
org.mariotaku.twidere.view.holder.StatusViewHolder$DummyStatusHolderAdapter,592,36,16
org.mariotaku.twidere.api.twitter.model.impl.ActivityImpl,526,36,15
org.mariotaku.twidere.fragment.CustomTabsFragment,206,24,9
org.mariotaku.twidere.fragment.support.UserProfileEditorFragment,289,27,28
org.mariotaku.twidere.fragment.support.AccountsManagerFragment,105,19,10
org.mariotaku.twidere.provider.TwidereDataProvider,1230,53,14
org.mariotaku.twidere.fragment.support.DraftsFragment,148,21,10
org.mariotaku.twidere.api.twitter.model.impl.UserImpl,1224,52,47
org.mariotaku.twidere.fragment.support.StatusFragment,475,39,19
org.mariotaku.twidere.view.holder.StatusViewHolder,50,17,20
org.mariotaku.twidere.fragment.support.MessagesConversationFragment,1183,54,40
org.mariotaku.twidere.view.TabPagerIndicator,883,47,15
org.mariotaku.twidere.view.LinePageIndicator,252,29,13
org.mariotaku.twidere.model.CustomTabConfiguration,65,15,17
org.mariotaku.twidere.activity.support.ComposeActivity,2038,73,42
org.mariotaku.twidere.graphic.TextDrawable,168,29,13
org.ligi.passandroid.model.PassImpl,1621,59,28
org.ligi.passandroid.ui.edit_fragments.BarCodeIntentIntegrator,424,37,23
org.ligi.passandroid.ui.PassListActivity,127,18,9
jackpal.androidterm.util.TermSettings,628,40,79
jackpal.androidterm.GenericTermSession,92,16,10
jackpal.androidterm.emulatorview.TermSession,665,42,27
jackpal.androidterm.Term,1872,68,37
jackpal.androidterm.emulatorview.TermKeyListener,172,25,23
jackpal.androidterm.emulatorview.TerminalEmulator,3050,85,75
jackpal.androidterm.compat.ActionBarCompat,153,18,9
jackpal.androidterm.shortcuts.FSNavigator,308,29,21
jackpal.androidterm.emulatorview.UnicodeTranscript,175,31,13
jackpal.androidterm.TermViewFlipper,196,24,14
jackpal.androidterm.emulatorview.EmulatorView,2794,88,57
jackpal.androidterm.shortcuts.AddShortcut,29,15,11
org.wordpress.android.ui.posts.PostsActivity,358,32,17
org.wordpress.android.ui.WPActionBarActivity,506,36,32
org.wordpress.android.ui.reader.adapters.ReaderPostAdapter,602,40,22
org.wordpress.android.ui.accounts.NewBlogFragment,196,25,10
org.wordpress.android.models.Theme,319,30,13
org.wordpress.android.ui.stats.StatsCursorTreeFragment,359,30,15
org.wordpress.android.models.Blog,2306,72,27
org.wordpress.android.ui.media.MediaGridFragment,1001,54,39
org.wordpress.android.ui.ShareIntentReceiverActivity,108,17,11
org.wordpress.android.ui.themes.ThemeTabFragment,110,17,9
org.wordpress.android.models.Note,778,41,26
org.wordpress.android.ui.media.MediaItemFragment,129,18,14
org.wordpress.android.ui.themes.ThemePreviewFragment,102,16,10
org.wordpress.android.ui.media.MediaGallerySettingsFragment,54,17,20
org.wordpress.android.models.Comment,287,30,15
