app_key,full_name
e3b13fa4980e15279714dd39db670d3c95ee6b30,query#de.nproth.pin.NotesProvider
e3b13fa4980e15279714dd39db670d3c95ee6b30,getType#de.nproth.pin.NotesProvider
e3b13fa4980e15279714dd39db670d3c95ee6b30,delete#de.nproth.pin.NotesProvider
e3b13fa4980e15279714dd39db670d3c95ee6b30,update#de.nproth.pin.NotesProvider
e3b13fa4980e15279714dd39db670d3c95ee6b30,insert#de.nproth.pin.NotesProvider
e3b13fa4980e15279714dd39db670d3c95ee6b30,onCreate#de.nproth.pin.NotesProvider
e3b13fa4980e15279714dd39db670d3c95ee6b30,onStopJob#de.nproth.pin.NotificationJobService
e3b13fa4980e15279714dd39db670d3c95ee6b30,onStartJob#de.nproth.pin.NotificationJobService
e3b13fa4980e15279714dd39db670d3c95ee6b30,update#de.nproth.pin.Pinboard
e3b13fa4980e15279714dd39db670d3c95ee6b30,get#de.nproth.pin.Pinboard
e3b13fa4980e15279714dd39db670d3c95ee6b30,<init>#de.nproth.pin.Pinboard
e3b13fa4980e15279714dd39db670d3c95ee6b30,onReceive#de.nproth.pin.SnoozeNoteReceiver
